name,joints,link_length,prev_axe,dof,mu,time,LCI,Z
roll_z_0_1pitch_y_0_1roll_x_0_7pitch_y_0_7pris_y_0_7,roll_pitch__roll__pitch__pris_,0.1_0.1__0.7__0.7__0.7_,z_y__x__y__y_,5,0.158,1.77,3.298,0.001
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_0_7roll_z_0_1,roll_roll__pitch__pitch__roll_,0.1_0.7__0.7__0.7__0.1_,z_y__y__y__z_,5,0.194,2.52,4.912,0.002
roll_z_0_1roll_y_0_1pitch_y_0_4roll_z_0_7roll_y_0_7,roll_roll__pitch__roll__roll_,0.1_0.1__0.4__0.7__0.7_,z_y__y__z__y_,5,0.0,3.86,4.907,0.001
roll_z_0_1pitch_y_0_7roll_z_0_7pitch_y_0_1roll_x_0_7,roll_pitch__roll__pitch__roll_,0.1_0.7__0.7__0.1__0.7_,z_y__z__y__x_,5,0.193,2.86,4.892,0.003
roll_z_0_1pitch_y_0_4pitch_z_0_1roll_z_0_4roll_y_0_7,roll_pitch__pitch__roll__roll_,0.1_0.4__0.1__0.4__0.7_,z_y__z__z__y_,5,0.0,3.01,4.53,0.0
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_4pitch_x_0_4,roll_roll__roll__pitch__pitch_,0.1_0.4__0.4__0.4__0.4_,z_y__y__y__x_,5,0.162,2.98,4.21,0.0
roll_z_0_1pitch_y_0_4pitch_x_0_1roll_z_0_4pitch_y_0_1,roll_pitch__pitch__roll__pitch_,0.1_0.4__0.1__0.4__0.1_,z_y__x__z__y_,5,0.0,2.52,4.935,0.003
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_y_0_7pitch_y_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.7__0.7_,z_y__x__y__y_,5,0.355,3.06,4.738,0.004
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1pitch_x_0_7,roll_pitch__roll__pitch__pitch_,0.1_0.1__0.4__0.1__0.7_,z_y__y__y__x_,5,0.213,2.61,3.89,0.003
roll_z_0_1roll_y_0_1pitch_y_0_1roll_y_0_7pitch_y_0_1,roll_roll__pitch__roll__pitch_,0.1_0.1__0.1__0.7__0.1_,z_y__y__y__y_,5,0.197,2.35,3.319,0.004
roll_z_0_1pitch_y_0_1pitch_y_0_4roll_y_0_1roll_y_0_4,roll_pitch__pitch__roll__roll_,0.1_0.1__0.4__0.1__0.4_,z_y__y__y__y_,5,0.411,2.15,4.2,0.007
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_1,roll_roll__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.1_,z_y__y__y__x_,5,0.0,2.21,4.866,0.0
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_x_0_7roll_x_0_4,roll_pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.7__0.4_,z_y__x__x__x_,5,0.0,3.32,4.879,0.0
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_y_0_4roll_z_0_7,roll_pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.7_,z_y__x__y__z_,5,0.0,2.76,4.774,0.0
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_y_0_7pitch_z_0_1,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.1_,z_y__z__y__z_,5,0.22,3.32,4.924,0.005
roll_z_0_1roll_y_0_1roll_y_0_7pitch_y_0_4roll_y_0_4,roll_roll__roll__pitch__roll_,0.1_0.1__0.7__0.4__0.4_,z_y__y__y__y_,5,0.168,2.67,4.304,0.007
roll_z_0_1pitch_y_0_7pitch_y_0_4roll_y_0_7pitch_y_0_7,roll_pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.7__0.7_,z_y__y__y__y_,5,0.0,2.86,4.599,0.0
roll_z_0_1pitch_y_0_7roll_y_0_1pitch_y_0_7roll_z_0_4,roll_pitch__roll__pitch__roll_,0.1_0.7__0.1__0.7__0.4_,z_y__y__y__z_,5,0.0,2.56,4.935,0.0
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_4roll_x_0_1,roll_pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.1_,z_y__y__z__x_,5,0.209,2.6,4.935,0.005
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_4roll_z_0_1,roll_roll__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.1_,z_y__y__x__z_,5,0.209,2.66,4.891,0.005
roll_z_0_1roll_y_0_7pris_y_0_4roll_x_0_1roll_y_0_4,roll_roll__pris__roll__roll_,0.1_0.7__0.4__0.1__0.4_,z_y__y__x__y_,5,0.177,1.67,2.753,0.002
