name,joints,link_length,prev_axe,dof,mu,time,LCI,Z
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_4pitch_y_0_4,roll_pitch__roll__roll__pitch_,0.1_0.4__0.4__0.4__0.4_,z_y__y__y__y_,5,0.635,2.55,3.239,0.06
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_4pitch_y_0_1,roll_pitch__roll__roll__pitch_,0.1_0.4__0.4__0.4__0.1_,z_y__y__y__y_,5,0.623,2.3,3.867,0.059
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_1pitch_y_0_4,roll_pitch__roll__roll__pitch_,0.1_0.4__0.4__0.1__0.4_,z_y__y__y__y_,5,0.385,3.36,4.935,0.014
roll_z_0_1pitch_y_0_4roll_y_0_1roll_y_0_4pitch_y_0_4,roll_pitch__roll__roll__pitch_,0.1_0.4__0.1__0.4__0.4_,z_y__y__y__y_,5,0.708,4.02,3.397,0.08
roll_z_0_1pitch_y_0_4roll_y_0_1roll_y_0_4pitch_y_0_1,roll_pitch__roll__roll__pitch_,0.1_0.4__0.1__0.4__0.1_,z_y__y__y__y_,5,0.572,2.8,3.705,0.067
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_4pitch_y_0_4,roll_pitch__roll__roll__pitch_,0.1_0.1__0.4__0.4__0.4_,z_y__y__y__y_,5,0.503,2.36,4.935,0.043
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_4pitch_y_0_1,roll_pitch__roll__roll__pitch_,0.1_0.1__0.4__0.4__0.1_,z_y__y__y__y_,5,0.619,4.11,4.572,0.058
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_4roll_y_0_1,roll_pitch__roll__roll__roll_,0.1_0.4__0.4__0.4__0.1_,z_y__y__y__y_,5,0.591,2.51,3.227,0.067
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_1roll_y_0_4,roll_pitch__roll__roll__roll_,0.1_0.4__0.4__0.1__0.4_,z_y__y__y__y_,5,0.755,3.81,3.188,0.08
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_1roll_y_0_1,roll_pitch__roll__roll__roll_,0.1_0.4__0.4__0.1__0.1_,z_y__y__y__y_,5,0.584,2.0,2.988,0.065
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_4roll_y_0_4,roll_pitch__roll__roll__roll_,0.1_0.1__0.4__0.4__0.4_,z_y__y__y__y_,5,0.651,2.46,4.935,0.068
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_4roll_y_0_1,roll_pitch__roll__roll__roll_,0.1_0.1__0.4__0.4__0.1_,z_y__y__y__y_,5,0.418,2.93,4.495,0.02
roll_z_0_1pitch_y_0_1roll_y_0_1roll_y_0_4roll_y_0_4,roll_pitch__roll__roll__roll_,0.1_0.1__0.1__0.4__0.4_,z_y__y__y__y_,5,0.666,2.44,3.74,0.058
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_4pitch_x_0_4,roll_pitch__roll__pitch__pitch_,0.1_0.4__0.4__0.4__0.4_,z_y__y__y__x_,5,0.497,3.17,4.354,0.039
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1pitch_x_0_4,roll_pitch__roll__pitch__pitch_,0.1_0.4__0.4__0.1__0.4_,z_y__y__y__x_,5,0.638,3.22,4.899,0.067
roll_z_0_1pitch_y_0_4roll_y_0_1pitch_y_0_4pitch_x_0_4,roll_pitch__roll__pitch__pitch_,0.1_0.4__0.1__0.4__0.4_,z_y__y__y__x_,5,0.436,3.47,4.375,0.024
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_4pitch_x_0_4,roll_pitch__roll__pitch__pitch_,0.1_0.1__0.4__0.4__0.4_,z_y__y__y__x_,5,0.607,3.16,4.209,0.055
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1roll_z_0_4,roll_pitch__roll__pitch__roll_,0.1_0.4__0.4__0.1__0.4_,z_y__y__y__z_,5,0.535,2.76,4.869,0.048
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1roll_z_0_1,roll_pitch__roll__pitch__roll_,0.1_0.4__0.4__0.1__0.1_,z_y__y__y__z_,5,0.62,2.15,4.935,0.059
roll_z_0_1pitch_y_0_4roll_y_0_1pitch_y_0_4roll_z_0_4,roll_pitch__roll__pitch__roll_,0.1_0.4__0.1__0.4__0.4_,z_y__y__y__z_,5,0.75,2.86,3.354,0.082
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_4roll_z_0_1,roll_pitch__roll__pitch__roll_,0.1_0.1__0.4__0.4__0.1_,z_y__y__y__z_,5,0.63,2.91,3.882,0.067
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1roll_z_0_4,roll_pitch__roll__pitch__roll_,0.1_0.1__0.4__0.1__0.4_,z_y__y__y__z_,5,0.62,3.2,4.039,0.058
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_4roll_x_0_4,roll_pitch__roll__pitch__roll_,0.1_0.4__0.4__0.4__0.4_,z_y__y__y__x_,5,0.652,2.59,3.253,0.062
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_4roll_x_0_1,roll_pitch__roll__pitch__roll_,0.1_0.4__0.4__0.4__0.1_,z_y__y__y__x_,5,0.624,2.55,3.199,0.063
