name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_7pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.7__0.4_,z_y__y__y__y__z_,6,0.159,2.31,4.138,0.082
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_x_0_4pitch_z_0_4pitch_y_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.4__0.4__0.1_,z_y__y__x__z__y_,6,0.185,2.28,4.167,0.089
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_z_0_4roll_z_0_1pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.7__0.4__0.1__0.1_,z_y__x__z__z__y_,6,0.071,2.38,4.042,0.05
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_x_0_1roll_z_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.4__0.1__0.7__0.4_,z_y__z__x__z__y_,6,0.184,2.08,4.048,0.093
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_y_0_1pitch_x_0_1pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.1__0.7_,z_y__x__y__x__x_,6,0.203,2.76,4.0,0.098
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_7pitch_y_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.7__0.7_,z_y__z__z__y__x_,6,0.188,2.33,3.917,0.115
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_y_0_7pitch_x_0_7pitch_y_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.7__0.7__0.1_,z_y__y__y__x__y_,6,0.18,2.44,3.908,0.116
roll_z_0_1pitch_y_0_7pitch_y_0_7roll_x_0_4roll_y_0_7roll_y_0_7,roll_pitch__pitch__roll__roll__roll_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__y__x__y__y_,6,0.296,2.97,4.469,0.136
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_y_0_7pitch_z_0_7pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.7__0.4_,z_y__x__y__z__z_,6,0.179,2.6,4.006,0.096
roll_z_0_1pitch_y_0_1roll_y_0_7pitch_y_0_1roll_y_0_4pitch_y_0_1,roll_pitch__roll__pitch__roll__pitch_,0.1_0.1__0.7__0.1__0.4__0.1_,z_y__y__y__y__y_,6,0.203,1.9,3.981,0.1
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_4pitch_y_0_7pitch_z_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.7__0.1_,z_y__z__y__y__z_,6,0.205,2.17,3.928,0.107
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_y_0_4pitch_x_0_7roll_z_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.4__0.7__0.7_,z_y__x__y__x__z_,6,0.141,3.06,4.856,0.12
roll_z_0_1pitch_y_0_1roll_z_0_7pitch_y_0_1roll_z_0_7pris_y_0_7,roll_pitch__roll__pitch__roll__pris_,0.1_0.1__0.7__0.1__0.7__0.7_,z_y__z__y__z__y_,6,0.15,3.13,4.179,0.076
roll_z_0_1roll_y_0_7pitch_y_0_7roll_x_0_1roll_y_0_1roll_y_0_7,roll_roll__pitch__roll__roll__roll_,0.1_0.7__0.7__0.1__0.1__0.7_,z_y__y__x__y__y_,6,0.178,2.26,4.078,0.1
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_y_0_1pitch_z_0_1roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.1__0.1__0.4_,z_y__y__y__z__x_,6,0.165,2.19,4.105,0.084
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_y_0_7pitch_y_0_4roll_z_0_1,roll_pitch__pitch__roll__pitch__roll_,0.1_0.4__0.1__0.7__0.4__0.1_,z_y__y__y__y__z_,6,0.182,2.06,4.106,0.084
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_z_0_1pitch_y_0_4roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.1__0.4__0.4_,z_y__x__z__y__x_,6,0.197,2.58,4.009,0.095
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_1pitch_x_0_4roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.4__0.1_,z_y__x__y__x__z_,6,0.154,2.82,4.093,0.086
roll_z_0_1pitch_y_0_1pitch_z_0_1pitch_y_0_7pitch_x_0_4pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.7__0.4__0.4_,z_y__z__y__x__z_,6,0.193,2.33,3.9,0.116
roll_z_0_1pitch_y_0_1pitch_y_0_7roll_y_0_4pitch_y_0_1roll_z_0_1,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.7__0.4__0.1__0.1_,z_y__y__y__y__z_,6,0.206,2.38,3.933,0.11
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_x_0_1pitch_x_0_1pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.1__0.4_,z_y__y__x__x__z_,6,0.177,2.31,4.002,0.098
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_7pitch_x_0_4pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.4__0.7_,z_y__y__x__x__x_,6,0.149,2.38,4.121,0.086
roll_z_0_1pitch_y_0_1pitch_x_0_1pitch_z_0_7pitch_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.7__0.4__0.7_,z_y__x__z__y__y_,6,0.166,2.49,4.059,0.102
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_y_0_4pitch_z_0_7pris_z_0_7,roll_pitch__pitch__pitch__pitch__pris_,0.1_0.4__0.1__0.4__0.7__0.7_,z_y__z__y__z__z_,6,0.214,2.39,3.923,0.114
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_x_0_4pitch_x_0_4roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.4__0.4_,z_y__y__x__x__z_,6,0.19,1.89,4.059,0.09
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_1pitch_z_0_1pitch_x_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.4__0.1__0.1__0.7_,z_y__z__y__z__x_,6,0.208,2.49,3.922,0.113
roll_z_0_1pris_z_0_4pris_y_0_7pitch_x_0_7pris_x_0_1pitch_x_0_4,roll_pris__pris__pitch__pris__pitch_,0.1_0.4__0.7__0.7__0.1__0.4_,z_z__y__x__x__x_,6,0.193,2.38,3.368,0.106
roll_z_0_1pitch_y_0_7pitch_z_0_7roll_z_0_4pitch_y_0_4pitch_x_0_4,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.7__0.7__0.4__0.4__0.4_,z_y__z__z__y__x_,6,0.231,2.28,3.946,0.112
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_y_0_7roll_y_0_1pitch_y_0_4,roll_pitch__pitch__roll__roll__pitch_,0.1_0.4__0.4__0.7__0.1__0.4_,z_y__x__y__y__y_,6,0.197,2.46,3.985,0.1
roll_z_0_1pitch_y_0_1roll_z_0_4pitch_y_0_4pitch_z_0_1roll_z_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.1__0.1_,z_y__z__y__z__z_,6,0.207,1.8,3.978,0.104
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_1pitch_y_0_7roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.1__0.7__0.4_,z_y__y__y__y__x_,6,0.177,2.67,4.073,0.088
roll_z_0_1pitch_y_0_1pitch_z_0_7roll_z_0_1roll_y_0_4roll_y_0_4,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.7__0.1__0.4__0.4_,z_y__z__z__y__y_,6,0.161,2.21,4.03,0.099
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_1roll_y_0_4pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.1__0.4__0.1_,z_y__y__x__y__y_,6,0.18,2.23,3.943,0.113
roll_z_0_1pitch_y_0_1roll_z_0_7pitch_y_0_7pitch_z_0_1pitch_z_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.7__0.7__0.1__0.7_,z_y__z__y__z__z_,6,0.166,2.66,4.072,0.088
roll_z_0_1pitch_y_0_1roll_x_0_1pitch_y_0_1pitch_z_0_4roll_y_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.4__0.7_,z_y__x__y__z__y_,6,0.162,2.73,3.998,0.094
roll_z_0_1pitch_y_0_4roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.1__0.4__0.7__0.1_,z_y__z__y__y__y_,6,0.185,2.64,3.988,0.108
roll_z_0_1pris_z_0_1pitch_y_0_7pris_y_0_4pitch_x_0_7pris_x_0_7,roll_pris__pitch__pris__pitch__pris_,0.1_0.1__0.7__0.4__0.7__0.7_,z_z__y__y__x__x_,6,0.157,2.53,4.076,0.087
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_x_0_7pitch_x_0_7pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.7__0.4_,z_y__z__x__x__z_,6,0.172,2.52,4.093,0.098
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_z_0_4roll_z_0_1roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.4__0.4__0.1__0.1_,z_y__z__z__z__y_,6,0.185,2.5,4.033,0.103
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_x_0_1pitch_x_0_1pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.1__0.1__0.4_,z_y__x__x__x__z_,6,0.179,2.12,4.017,0.095
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_z_0_1pitch_y_0_1pris_z_0_7,roll_roll__pitch__pitch__pitch__pris_,0.1_0.1__0.1__0.1__0.1__0.7_,z_y__y__z__y__z_,6,0.196,2.4,3.903,0.111
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_7pitch_y_0_7roll_z_0_7,roll_pitch__roll__roll__pitch__roll_,0.1_0.1__0.4__0.7__0.7__0.7_,z_y__y__y__y__z_,6,0.145,4.38,4.935,0.154
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_z_0_7roll_x_0_7pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.7__0.7__0.4_,z_y__y__z__x__y_,6,0.217,3.06,4.837,0.084
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_7pitch_z_0_7roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.7__0.4_,z_y__x__z__z__x_,6,0.189,2.6,4.137,0.092
roll_z_0_1pitch_y_0_7roll_x_0_7pitch_y_0_4pitch_y_0_1pris_x_0_7,roll_pitch__roll__pitch__pitch__pris_,0.1_0.7__0.7__0.4__0.1__0.7_,z_y__x__y__y__x_,6,0.198,2.23,3.922,0.106
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_4roll_y_0_1,roll_pitch__pitch__roll__roll__roll_,0.1_0.4__0.1__0.4__0.4__0.1_,z_y__y__z__y__y_,6,0.181,2.12,3.994,0.097
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_4roll_z_0_4roll_y_0_1,roll_pitch__roll__pitch__roll__roll_,0.1_0.7__0.4__0.4__0.4__0.1_,z_y__z__y__z__y_,6,0.12,3.38,3.679,0.077
