name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1pitch_y_0_4pitch_x_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.1_,z_y__y__y__y__x_,6,0.155,1.8,4.181,0.076
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_4roll_z_0_7pitch_y_0_1,roll_roll__roll__pitch__roll__pitch_,0.1_0.1__0.4__0.4__0.7__0.1_,z_y__y__y__z__y_,6,0.19,1.96,3.979,0.099
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1pitch_z_0_4roll_z_0_4,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.1__0.4__0.4_,z_y__y__y__z__z_,6,0.203,2.46,3.925,0.106
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_z_0_4pitch_x_0_4pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.4__0.7_,z_y__x__z__x__y_,6,0.186,2.26,3.941,0.107
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_4roll_y_0_7pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.4__0.7__0.1_,z_y__y__y__y__y_,6,0.194,2.22,4.145,0.094
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_1pitch_z_0_7roll_x_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.1__0.7__0.1_,z_y__y__y__z__x_,6,0.201,2.42,3.866,0.11
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_1roll_x_0_7pris_y_0_7,roll_roll__pitch__pitch__roll__pris_,0.1_0.1__0.4__0.1__0.7__0.7_,z_y__y__x__x__y_,6,0.207,2.22,3.924,0.111
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_7pitch_y_0_4roll_y_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.4__0.7_,z_y__z__z__y__y_,6,0.207,2.39,3.893,0.117
roll_z_0_1pitch_y_0_4pitch_z_0_7roll_z_0_1roll_y_0_1roll_y_0_7,roll_pitch__pitch__roll__roll__roll_,0.1_0.4__0.7__0.1__0.1__0.7_,z_y__z__z__y__y_,6,0.203,2.51,3.932,0.103
roll_z_0_1pitch_y_0_7pitch_z_0_1pitch_y_0_4pitch_z_0_1pitch_y_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.4__0.1__0.1_,z_y__z__y__z__y_,6,0.192,2.1,3.925,0.115
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_7pitch_y_0_7roll_y_0_4,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.7__0.7__0.7__0.4_,z_y__y__y__y__y_,6,0.218,2.16,3.9,0.115
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_x_0_7roll_y_0_4pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.7__0.7__0.4__0.1_,z_y__y__x__y__y_,6,0.212,2.26,3.937,0.102
roll_z_0_1roll_y_0_7pitch_y_0_7roll_z_0_4pitch_y_0_7roll_z_0_7,roll_roll__pitch__roll__pitch__roll_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__y__z__y__z_,6,0.219,1.89,4.103,0.103
roll_z_0_1pitch_y_0_1roll_z_0_1roll_y_0_7roll_y_0_4roll_y_0_4,roll_pitch__roll__roll__roll__roll_,0.1_0.1__0.1__0.7__0.4__0.4_,z_y__z__y__y__y_,6,0.203,1.91,3.93,0.103
roll_z_0_1pitch_y_0_1pitch_y_0_1pitch_x_0_4pitch_z_0_7pitch_y_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.4__0.7__0.1_,z_y__y__x__z__y_,6,0.17,2.43,4.085,0.086
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_1pitch_x_0_4pitch_x_0_4,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__x__y__x__x_,6,0.187,2.83,3.976,0.1
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_x_0_7roll_y_0_1pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.7__0.1__0.4_,z_y__z__x__y__y_,6,0.216,2.21,3.949,0.105
roll_z_0_1pitch_y_0_4roll_y_0_7pitch_y_0_4pitch_x_0_1roll_z_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.1__0.7_,z_y__y__y__x__z_,6,0.177,2.26,4.073,0.098
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_1roll_x_0_4roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.1__0.1__0.4__0.1_,z_y__y__y__x__y_,6,0.176,2.21,4.009,0.106
roll_z_0_1roll_y_0_7roll_y_0_4pitch_y_0_1pitch_z_0_7roll_y_0_7,roll_roll__roll__pitch__pitch__roll_,0.1_0.7__0.4__0.1__0.7__0.7_,z_y__y__y__z__y_,6,0.196,2.75,4.052,0.107
roll_z_0_1pitch_y_0_4pitch_y_0_4pris_x_0_4pitch_y_0_4pris_x_0_7,roll_pitch__pitch__pris__pitch__pris_,0.1_0.4__0.4__0.4__0.4__0.7_,z_y__y__x__y__x_,6,0.192,2.07,3.907,0.117
roll_z_0_1roll_y_0_1pitch_y_0_1roll_x_0_7pitch_y_0_1roll_z_0_7,roll_roll__pitch__roll__pitch__roll_,0.1_0.1__0.1__0.7__0.1__0.7_,z_y__y__x__y__z_,6,0.2,2.02,3.898,0.11
roll_z_0_1roll_y_0_1pitch_y_0_7roll_z_0_1pitch_y_0_7pitch_y_0_1,roll_roll__pitch__roll__pitch__pitch_,0.1_0.1__0.7__0.1__0.7__0.1_,z_y__y__z__y__y_,6,0.196,2.16,3.941,0.103
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_z_0_7roll_x_0_7pitch_y_0_7,roll_roll__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.7__0.7__0.7_,z_y__y__z__x__y_,6,0.034,3.57,4.134,0.017
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_7roll_z_0_1pris_y_0_7,roll_pitch__pitch__pitch__roll__pris_,0.1_0.4__0.7__0.7__0.1__0.7_,z_y__z__z__z__y_,6,0.205,1.98,3.934,0.105
roll_z_0_1pitch_y_0_7pitch_x_0_1pitch_y_0_7pitch_z_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.7__0.7_,z_y__x__y__z__x_,6,0.179,2.42,4.028,0.092
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_z_0_4pitch_y_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__x__z__y__x_,6,0.184,2.26,3.977,0.096
roll_z_0_1pitch_y_0_1pitch_x_0_1pitch_x_0_1roll_y_0_1roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.1__0.1__0.1__0.1__0.7_,z_y__x__x__y__y_,6,0.216,2.02,3.884,0.113
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_y_0_1pitch_x_0_7roll_y_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.7__0.7_,z_y__z__y__x__y_,6,0.229,4.53,4.857,0.075
roll_z_0_1pitch_y_0_7pitch_x_0_7roll_z_0_7pitch_y_0_4pitch_x_0_4,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.7__0.7__0.7__0.4__0.4_,z_y__x__z__y__x_,6,0.181,2.41,4.079,0.087
roll_z_0_1pitch_y_0_7pitch_x_0_1pitch_z_0_4roll_z_0_7pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.4__0.7__0.1_,z_y__x__z__z__y_,6,0.199,2.58,3.828,0.122
roll_z_0_1roll_y_0_4pris_y_0_4pris_x_0_1roll_x_0_1pris_y_0_7,roll_roll__pris__pris__roll__pris_,0.1_0.4__0.4__0.1__0.1__0.7_,z_y__y__x__x__y_,6,0.214,2.26,3.876,0.12
roll_z_0_1roll_y_0_4roll_y_0_1roll_y_0_4roll_y_0_4roll_y_0_4,roll_roll__roll__roll__roll__roll_,0.1_0.4__0.1__0.4__0.4__0.4_,z_y__y__y__y__y_,6,0.209,2.11,3.846,0.122
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_y_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.1__0.7__0.4_,z_y__y__x__y__y_,6,0.044,3.7,1.345,0.01
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1roll_x_0_7pitch_y_0_1,roll_roll__pitch__pitch__roll__pitch_,0.1_0.4__0.4__0.1__0.7__0.1_,z_y__y__x__x__y_,6,0.188,2.01,4.001,0.095
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_x_0_4pitch_x_0_4pris_x_0_7,roll_roll__pitch__pitch__pitch__pris_,0.1_0.1__0.7__0.4__0.4__0.7_,z_y__y__x__x__x_,6,0.161,2.63,4.17,0.087
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_4roll_z_0_4roll_y_0_1,roll_roll__pitch__pitch__roll__roll_,0.1_0.1__0.4__0.4__0.4__0.1_,z_y__y__x__z__y_,6,0.199,2.12,3.861,0.119
roll_z_0_1pitch_y_0_1roll_x_0_4pitch_y_0_1roll_x_0_7roll_y_0_7,roll_pitch__roll__pitch__roll__roll_,0.1_0.1__0.4__0.1__0.7__0.7_,z_y__x__y__x__y_,6,0.192,2.06,3.882,0.107
roll_z_0_1pitch_y_0_1pitch_z_0_7roll_z_0_4pitch_y_0_4pitch_x_0_4,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.1__0.7__0.4__0.4__0.4_,z_y__z__z__y__x_,6,0.17,2.21,3.84,0.108
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_y_0_4pitch_y_0_4pitch_x_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.4__0.4__0.7_,z_y__y__y__y__x_,6,0.199,2.36,3.859,0.107
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_7roll_z_0_1roll_y_0_1,roll_roll__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.7__0.1__0.1_,z_y__y__x__z__y_,6,0.199,2.29,3.937,0.114
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_7pitch_y_0_7roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.7__0.4_,z_y__z__z__y__y_,6,0.194,2.42,3.427,0.102
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_x_0_4pitch_y_0_1roll_x_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.1__0.7_,z_y__z__x__y__x_,6,0.175,2.4,4.124,0.084
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4pitch_x_0_7pitch_x_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.7__0.4_,z_y__y__y__x__x_,6,0.202,2.3,3.896,0.116
roll_z_0_1roll_y_0_4pitch_y_0_7roll_z_0_1pitch_y_0_4pris_z_0_7,roll_roll__pitch__roll__pitch__pris_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__z__y__z_,6,0.207,2.28,3.909,0.109
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_x_0_7pitch_x_0_4roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.4__0.4_,z_y__x__x__x__x_,6,0.192,2.26,3.862,0.108
roll_z_0_1pitch_y_0_7roll_z_0_1roll_y_0_1roll_y_0_7roll_y_0_4,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.1__0.1__0.7__0.4_,z_y__z__y__y__y_,6,0.212,2.36,2.566,0.101
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_1pitch_z_0_1pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.1__0.7_,z_y__y__x__z__y_,6,0.216,2.42,3.911,0.111
roll_z_0_1pitch_y_0_1pitch_x_0_7roll_x_0_1roll_y_0_7roll_y_0_4,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.7__0.1__0.7__0.4_,z_y__x__x__y__y_,6,0.193,2.07,3.979,0.106
roll_z_0_1roll_y_0_1roll_y_0_1pitch_y_0_1pitch_z_0_7pitch_z_0_4,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__z__z_,6,0.195,2.41,3.976,0.102
roll_z_0_1pitch_y_0_7pitch_y_0_1roll_z_0_1roll_y_0_1roll_y_0_7,roll_pitch__pitch__roll__roll__roll_,0.1_0.7__0.1__0.1__0.1__0.7_,z_y__y__z__y__y_,6,0.201,2.54,3.926,0.102
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_z_0_1roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.7__0.1__0.1_,z_y__x__y__z__y_,6,0.196,2.51,4.053,0.094
