Aggressive_Exploration
Aggressive_Exploitation
Aggressive_Random
Aggressive_Combine
Medium_Exploration
Medium_Exploitation
Medium_Random
Medium_Combine
Ease_Exploration
Ease_Exploitation
Ease_Random
Ease_Combine
Regular_Exploration
Regular_Exploitation
Regular_Random
Regular_Combine
