name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_1pitch_z_0_4roll_x_0_4,roll_roll__roll__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__y__y__z__x_,6,0.192,2.49,0.057,0.272
roll_z_0_1pitch_y_0_1pitch_x_0_1pitch_x_0_4pitch_x_0_1roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.4__0.1__0.4_,z_y__x__x__x__y_,6,0.202,2.31,0.061,0.262
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_4pitch_y_0_4roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.4__0.4_,z_y__y__z__y__z_,6,0.197,2.16,0.065,0.246
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_4,roll_roll__roll__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.4__0.4_,z_y__y__y__y__y_,6,0.183,2.16,0.059,0.259
roll_z_0_1roll_y_0_4pitch_y_0_1roll_x_0_4pitch_y_0_1pitch_z_0_4,roll_roll__pitch__roll__pitch__pitch_,0.1_0.4__0.1__0.4__0.1__0.4_,z_y__y__x__y__z_,6,0.179,2.24,0.061,0.253
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1pitch_z_0_1roll_x_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.1__0.1__0.4_,z_y__y__y__z__x_,6,0.186,2.2,0.063,0.263
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_4pitch_z_0_1pitch_z_0_4,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.4__0.4__0.1__0.4_,z_y__y__y__z__z_,6,0.177,2.4,0.059,0.241
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_4roll_x_0_4pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__x__x__y_,6,0.065,2.56,0.014,0.442
roll_z_0_1roll_y_0_1roll_y_0_1pitch_y_0_4roll_z_0_4pitch_y_0_1,roll_roll__roll__pitch__roll__pitch_,0.1_0.1__0.1__0.4__0.4__0.1_,z_y__y__y__z__y_,6,0.209,2.47,0.066,0.262
roll_z_0_1roll_y_0_4pitch_y_0_4roll_z_0_1pitch_y_0_1roll_z_0_1,roll_roll__pitch__roll__pitch__roll_,0.1_0.4__0.4__0.1__0.1__0.1_,z_y__y__z__y__z_,6,0.176,1.84,0.057,0.279
