'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
3,0.7,6,2,2,0, 3.1}",300,300,0
0,0.4,6,0,1,0.5, 2.6}",637,145,492
0,0.4,5,2,3,0.25, 2}",28,24,4
4,0.7,6,2,2,0, 3.1}",50,50,0
2,0.7,5,2,2,0.25, 2}",720,612,108
3,0.7,6,0,0,0.2, 2.6}",180,180,0
3,0.7,4,2,3,0, 2.6}",2,2,0
1,0.7,6,0,2,0.2, 2}",16764,832,15932
1,0.7,6,0,1,1, 2.6}",16200,783,15417
0,0.4,6,0,0,0.2, 2}",108,108,0
2,0.7,6,0,3,0.5, 2.6}",38400,1876,36524
2,0.7,5,2,4,0, 2}",144,144,0
0,0.4,6,0,2,1, 1.5}",10260,1309,8951
0,0.4,6,0,0,1, 1.5}",3211,743,2468
4,0.7,6,0,0,0.5, 3.1}",495,495,0
2,0.7,6,2,2,0, 2}",100,100,0
1,0.7,5,2,3,0.25, 1.5}",448,384,64
0,0.4,5,3,4,0, 1.5}",20,20,0
1,0.7,5,4,4,0, 1.5}",16,16,0
2,0.7,6,2,3,0.5, 2}",1440,77,1363
4,0.7,6,0,1,0.2, 3.6}",860,46,814
3,0.7,6,2,4,0.2, 3.1}",3420,170,3250
0,0.4,6,0,3,0.2, 2}",3792,439,3353
1,0.7,6,0,3,0.5, 2.6}",16000,791,15209
3,0.7,6,3,3,0.5, 3.1}",780,41,739
3,0.7,6,0,2,0, 3.1}",1680,88,1592
1,0.7,4,0,1,0, 1.5}",42,42,0
0,0.4,5,0,3,0, 1.5}",360,360,0
1,0.7,6,0,3,0.2, 1.5}",13904,687,13217
1,0.7,6,2,2,0.5, 1.5}",3388,170,3218
1,0.7,6,2,2,0, 1.5}",220,220,0
0,0.4,6,2,2,0.5, 2}",924,165,759
2,0.7,5,2,3,0, 2}",252,252,0
4,0.7,5,2,3,0, 3.1}",14,14,0
0,0.4,4,0,3,0, 1.5}",6,6,0
0,0.4,6,3,4,0.2, 2}",156,156,0
0,0.4,6,0,0,0, 2.6}",1,1,0
1,0.7,6,0,4,0.2, 2}",9372,458,8914
1,0.7,5,0,3,0.25, 1.5}",1280,1280,0
0,0.4,5,0,0,0.67, 1.5}",510,510,0
0,0.4,4,3,3,0, 1.5}",1,1,0
1,0.7,6,2,5,0, 2}",858,39,819
2,0.7,5,2,4,0, 2.6}",48,48,0
2,0.7,6,2,2,0.2, 3.1}",860,42,818
0,0.4,5,0,1,0.67, 2}",192,192,0
1,0.7,6,3,3,0, 2.6}",175,175,0
0,0.4,6,0,3,0, 2}",666,91,575
0,0.4,4,0,2,0, 1.5}",11,11,0
1,0.7,4,0,2,0.33, 2}",72,72,0
0,0.4,6,0,0,0.2, 2.6}",18,18,0
1,0.7,6,2,3,0, 2}",1452,71,1381
3,0.7,6,3,5,0, 2.6}",80,80,0
0,0.4,6,0,4,0, 2.6}",112,112,0
3,0.7,5,2,2,0.67, 2.6}",192,160,32
1,0.7,6,2,3,0.5, 2.6}",3600,172,3428
0,0.4,6,0,2,0.2, 1.5}",9652,1601,8051
1,0.7,6,2,5,0, 2.6}",650,38,612
2,0.7,6,2,2,0.5, 3.1}",1540,81,1459
5,0.7,6,2,2,0.5, 3.6}",154,154,0
0,0.4,6,0,2,0.5, 2}",6852,1049,5803
1,0.7,4,0,2,0, 1.5}",66,66,0
2,0.7,6,2,4,0, 2}",590,33,557
2,0.7,6,5,5,0, 3.1}",10,10,0
