'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
1,0.7,5,0,0,1.5, 1.5}",608,608,0
2,0.7,6,0,1,0.2, 2.6}",10320,498,9822
0,0.4,6,0,2,0.2, 2}",3048,505,2543
0,0.4,5,0,0,0.67, 2}",51,51,0
2,0.7,5,0,1,1.5, 2}",1188,1188,0
1,0.7,6,0,2,0.2, 1.5}",11176,533,10643
1,0.7,6,0,1,0.2, 2}",5676,280,5396
3,0.7,6,3,4,0, 3.1}",420,420,0
2,0.7,6,3,3,0, 2}",70,70,0
3,0.7,6,0,0,0, 3.1}",30,30,0
0,0.4,6,0,0,1, 2}",1014,289,725
5,0.7,6,0,0,1, 3.6}",169,169,0
1,0.7,5,0,4,0, 2}",256,256,0
2,0.7,6,0,5,0, 3.1}",440,439,1
3,0.7,6,0,0,0, 2.6}",10,10,0
4,0.7,5,0,3,0.25, 3.1}",80,80,0
4,0.7,5,2,4,0, 3.1}",8,8,0
4,0.7,6,2,3,0.2, 3.6}",970,39,931
1,0.7,6,3,4,0.2, 2.6}",650,38,612
2,0.7,6,3,3,0.5, 2}",260,260,0
0,0.4,6,0,2,0, 1.5}",1064,178,886
1,0.7,6,5,5,0, 2}",33,33,0
1,0.7,6,0,0,1, 2}",5577,266,5311
0,0.4,6,2,3,0.5, 2}",864,91,773
1,0.7,5,0,0,0, 2}",16,16,0
4,0.7,6,2,2,0.2, 3.6}",430,428,2
0,0.4,5,4,4,0, 1.5}",10,10,0
0,0.4,6,2,4,0.2, 2}",684,59,625
1,0.7,6,0,2,1, 2}",17820,857,16963
0,0.4,6,2,2,0.2, 2.6}",86,86,0
4,0.7,6,2,2,1, 3.1}",225,225,0
0,0.4,5,3,3,0, 1.5}",40,40,0
4,0.7,6,2,4,0.2, 3.6}",570,36,534
1,0.7,5,0,1,0.25, 2}",1488,1488,0
1,0.7,6,0,2,0.5, 2.6}",28550,1393,27157
0,0.4,6,2,2,0.5, 2.6}",154,154,0
3,0.7,6,2,2,0.5, 2.6}",1540,78,1462
3,0.7,5,3,3,0.25, 2.6}",72,56,16
2,0.7,6,0,1,0.2, 2}",1720,77,1643
3,0.7,6,0,2,0.5, 2.6}",11420,567,10853
4,0.7,6,2,3,0.2, 3.1}",970,43,927
1,0.7,6,3,4,0.2, 2}",858,39,819
1,0.7,6,4,4,0.2, 2}",264,264,0
1,0.7,5,0,2,0, 2}",464,464,0
1,0.7,6,0,1,0, 1.5}",286,286,0
4,0.7,5,2,2,0.67, 3.1}",24,20,4
2,0.7,6,2,3,0, 3.1}",440,440,0
0,0.4,6,0,4,0, 1.5}",2128,191,1937
3,0.7,4,2,2,0.33, 2.6}",6,6,0
3,0.7,5,0,1,0, 2.6}",80,80,0
2,0.7,6,0,5,0, 2.6}",2640,114,2526
1,0.7,4,0,0,0.33, 1.5}",60,60,0
2,0.7,5,0,0,1.5, 2}",684,684,0
3,0.7,6,0,5,0, 2.6}",440,440,0
0,0.4,6,2,2,0, 2}",60,60,0
3,0.7,6,3,3,0.5, 2.6}",260,260,0
3,0.7,4,0,0,3, 2.6}",3,3,0
1,0.7,6,0,4,0, 2}",3696,168,3528
0,0.4,6,3,3,0.5, 2.6}",26,26,0
0,0.4,6,3,3,0.2, 2.6}",38,38,0
2,0.7,5,0,1,0, 2}",180,180,0
2,0.7,6,3,3,0.5, 2.6}",1560,66,1494
0,0.4,5,0,3,0, 2}",36,36,0
0,0.4,6,0,1,1, 2.6}",648,161,487
0,0.4,6,0,4,0, 2}",672,62,610
4,0.7,6,2,3,0, 3.1}",220,220,0
2,0.7,5,0,0,0.67, 2}",918,918,0
2,0.7,6,0,3,0.5, 3.1}",6400,310,6090
2,0.7,6,4,4,0, 3.1}",40,40,0
4,0.7,6,0,1,0.5, 3.6}",3185,159,3026
5,0.7,6,0,1,0, 3.6}",13,13,0
4,0.7,5,2,2,0, 3.1}",7,7,0
1,0.7,6,0,1,1, 2}",21384,1001,20383
0,0.4,6,0,5,0, 2.6}",44,44,0
3,0.7,6,0,1,0.2, 2.6}",1720,78,1642
5,0.7,6,0,0,0.2, 3.6}",18,18,0
1,0.7,6,2,2,0.2, 2}",2838,141,2697
0,0.4,6,0,2,0.5, 1.5}",21698,2998,18700
0,0.4,6,0,0,0.5, 1.5}",1881,499,1382
2,0.7,5,0,4,0, 2.6}",96,96,0
3,0.7,6,2,2,0.2, 3.1}",2580,143,2437
2,0.7,6,3,3,0.2, 2.6}",2280,108,2172
2,0.7,5,0,1,0.67, 2}",3456,3456,0
5,0.7,6,0,3,0.5, 3.6}",640,36,604
0,0.4,6,0,1,1, 2}",3888,793,3095
2,0.7,6,0,1,1, 2.6}",38880,1925,36955
0,0.4,6,4,4,0, 2.6}",4,4,0
0,0.4,5,0,1,1.5, 1.5}",660,660,0
2,0.7,6,0,3,0.2, 2.6}",37920,1899,36021
0,0.4,6,2,3,0.2, 2}",1164,148,1016
3,0.7,4,2,2,0, 2.6}",4,4,0
0,0.4,6,4,4,0.2, 2.6}",8,8,0
4,0.7,6,0,3,0.2, 3.1}",3160,158,3002
0,0.4,5,0,0,0.25, 1.5}",140,140,0
5,0.7,6,0,4,0.2, 3.6}",284,284,0
0,0.4,6,4,4,0, 1.5}",76,76,0
4,0.7,5,0,2,0.67, 3.1}",138,138,0
0,0.4,6,3,4,0, 1.5}",266,265,1
2,0.7,6,0,1,1, 2}",6480,308,6172
2,0.7,6,4,5,0, 3.1}",20,20,0
1,0.7,4,0,1,0.33, 1.5}",228,228,0
0,0.4,6,3,5,0, 2.6}",8,8,0
4,0.7,6,3,3,0.5, 3.6}",130,130,0
5,0.7,6,0,3,0, 3.6}",111,111,0
2,0.7,6,3,3,0.2, 2}",380,380,0
1,0.7,5,2,2,0.25, 1.5}",640,544,96
1,0.7,5,2,2,0, 1.5}",112,112,0
3,0.7,6,4,4,0.2, 2.6}",80,80,0
0,0.4,6,3,3,0.2, 2}",228,228,0
1,0.7,6,0,4,0.2, 2.6}",7100,342,6758
2,0.7,6,2,5,0, 3.1}",260,260,0
0,0.4,4,2,2,0, 1.5}",4,4,0
2,0.7,6,2,2,0, 2.6}",600,41,559
1,0.7,4,0,0,0, 1.5}",6,6,0
2,0.7,6,2,2,1, 3.1}",450,450,0
2,0.7,6,0,1,0.2, 3.1}",1720,76,1644
0,0.4,6,0,2,0, 2}",336,336,0
4,0.7,6,5,5,0, 3.6}",5,5,0
0,0.4,6,0,0,0, 2}",6,6,0
0,0.4,6,2,2,0, 1.5}",190,190,0
1,0.7,5,2,2,0.67, 2}",384,320,64
3,0.7,5,3,4,0, 2.6}",16,16,0
1,0.7,6,3,4,0, 2}",462,462,0
1,0.7,6,0,3,0, 2.6}",2775,138,2637
2,0.7,6,0,2,0.5, 2.6}",68520,3357,65163
2,0.7,6,0,2,0.2, 3.1}",5080,231,4849
3,0.7,5,0,1,0.25, 2.6}",744,744,0
1,0.7,6,0,1,0.5, 1.5}",14014,655,13359
1,0.7,6,0,1,0.2, 2.6}",4300,219,4081
2,0.7,4,2,2,0, 2}",24,24,0
0,0.4,6,0,1,0.5, 2}",3822,822,3000
2,0.7,4,2,2,0.33, 2}",36,36,0
5,0.7,6,5,5,0, 3.6}",1,1,0
3,0.7,6,0,1,1, 3.1}",19440,953,18487
0,0.4,4,0,0,0.33, 1.5}",10,10,0
1,0.7,6,0,0,0, 2}",33,33,0
5,0.7,6,3,5,0, 3.6}",8,8,0
2,0.7,6,0,1,0.5, 2}",6370,308,6062
1,0.7,6,3,3,0.5, 2.6}",650,45,605
2,0.7,6,4,5,0, 2}",20,20,0
0,0.4,6,0,1,0, 2.6}",13,13,0
3,0.7,6,0,1,1, 2.6}",6480,323,6157
1,0.7,6,3,3,0, 1.5}",154,154,0
2,0.7,5,3,3,0.25, 2}",162,126,36
4,0.7,5,4,4,0, 3.1}",1,1,0
4,0.7,5,0,1,0, 3.1}",10,10,0
2,0.7,6,3,3,0, 3.1}",70,70,0
1,0.7,6,3,3,0.5, 1.5}",572,32,540
0,0.4,5,0,2,0.67, 1.5}",1380,1380,0
3,0.7,6,0,3,0.5, 3.1}",19200,956,18244
4,0.7,6,0,2,1, 3.1}",2700,136,2564
1,0.7,6,4,5,0, 1.5}",44,44,0
0,0.4,6,4,4,0.2, 2}",48,48,0
1,0.7,6,4,4,0, 2.6}",100,100,0
0,0.4,5,0,0,1.5, 1.5}",380,380,0
1,0.7,6,0,5,0, 1.5}",968,45,923
1,0.7,4,0,0,1, 2}",57,57,0
3,0.7,5,2,2,0, 2.6}",56,56,0
2,0.7,5,0,0,0, 2}",18,18,0
2,0.7,4,0,0,0.33, 2}",60,60,0
0,0.4,4,2,2,0.33, 1.5}",6,6,0
3,0.7,5,0,3,0.25, 2.6}",640,640,0
0,0.4,5,0,2,0, 1.5}",290,290,0
3,0.7,6,0,4,0, 2.6}",1120,59,1061
1,0.7,6,4,4,0, 1.5}",88,88,0
2,0.7,5,0,3,0, 2.6}",216,216,0
3,0.7,6,3,4,0.2, 3.1}",780,45,735
0,0.4,6,0,3,0.5, 2}",3840,421,3419
3,0.7,6,5,5,0, 3.1}",30,30,0
2,0.7,4,0,2,0, 2}",66,66,0
4,0.7,6,2,5,0, 3.6}",130,130,0
4,0.7,6,3,4,0, 3.6}",70,70,0
3,0.7,6,5,5,0, 2.6}",10,10,0
2,0.7,6,0,2,0.5, 3.1}",11420,571,10849
4,0.7,6,3,3,0, 3.1}",35,35,0
1,0.7,6,2,2,1, 2.6}",1125,55,1070
3,0.7,6,0,3,0, 2.6}",1110,53,1057
3,0.7,5,0,0,0.67, 2.6}",408,408,0
1,0.7,6,0,2,1, 2.6}",13500,646,12854
0,0.4,6,0,3,0, 2.6}",111,111,0
3,0.7,6,4,4,0, 3.1}",120,120,0
5,0.7,6,2,3,0, 3.6}",44,44,0
0,0.4,6,3,4,0.2, 1.5}",494,493,1
3,0.7,6,0,3,0.5, 2.6}",6400,306,6094
3,0.7,6,0,5,0, 3.1}",1320,65,1255
3,0.7,6,2,2,0.2, 2.6}",860,40,820
1,0.7,6,0,3,0.2, 2.6}",15800,787,15013
0,0.4,5,0,1,0, 1.5}",100,100,0
1,0.7,6,2,2,1, 2}",1485,70,1415
0,0.4,5,2,2,0.25, 1.5}",400,340,60
3,0.7,6,3,3,0.2, 2.6}",380,380,0
0,0.4,6,2,3,0.5, 2.6}",144,144,0
2,0.7,6,0,4,0, 2}",1120,60,1060
1,0.7,5,4,4,0, 2}",16,16,0
0,0.4,6,2,4,0.2, 2.6}",114,114,0
1,0.7,6,2,3,0.2, 2}",6402,304,6098
2,0.7,6,0,5,0, 2}",440,439,1
1,0.7,5,3,4,0, 2}",32,32,0
1,0.7,4,0,0,3, 2}",9,9,0
1,0.7,6,0,4,0, 1.5}",2464,107,2357
4,0.7,6,0,2,0.2, 3.1}",2540,124,2416
2,0.7,6,2,3,0.5, 3.1}",1440,64,1376
2,0.7,5,0,3,0, 2}",648,648,0
4,0.7,6,3,4,0.2, 3.1}",130,130,0
1,0.7,6,3,4,0.2, 1.5}",572,36,536
1,0.7,5,3,3,0.25, 2}",144,112,32
2,0.7,6,0,0,0.2, 2}",180,180,0
4,0.7,6,0,1,0.2, 3.1}",860,43,817
2,0.7,6,4,5,0, 2.6}",120,120,0
2,0.7,6,3,5,0, 2.6}",480,480,0
2,0.7,6,0,2,1, 2}",5400,258,5142
2,0.7,6,0,3,0.2, 3.1}",6320,297,6023
2,0.7,5,2,2,0.25, 2.6}",240,204,36
0,0.4,6,3,4,0, 2}",84,84,0
2,0.7,6,0,3,0.5, 2}",6400,307,6093
5,0.7,6,2,2,1, 3.6}",45,45,0
2,0.7,5,0,0,0.25, 2.6}",84,84,0
1,0.7,6,0,0,0, 1.5}",22,22,0
0,0.4,6,0,1,0.2, 2}",1032,251,781
1,0.7,5,0,1,0.25, 1.5}",1488,1488,0
3,0.7,6,0,3,0, 3.1}",3330,166,3164
0,0.4,6,4,4,0, 2}",24,24,0
1,0.7,6,0,3,0, 1.5}",2442,114,2328
3,0.7,6,2,2,0.5, 3.1}",4620,244,4376
0,0.4,4,0,0,1, 1.5}",19,19,0
1,0.7,5,0,2,0.25, 2}",2432,2432,0
0,0.4,6,0,0,1, 2.6}",169,169,0
2,0.7,6,2,2,0.5, 2.6}",9240,429,8811
1,0.7,6,2,3,0, 1.5}",968,42,926
4,0.7,6,3,3,0.5, 3.1}",130,130,0
2,0.7,6,0,2,0.2, 2.6}",30480,1438,29042
3,0.7,6,2,2,1, 3.1}",1350,69,1281
4,0.7,6,2,5,0, 3.1}",130,130,0
2,0.7,6,5,5,0, 2}",10,10,0
2,0.7,6,3,3,0.2, 3.1}",380,380,0
1,0.7,4,0,0,3, 1.5}",18,18,0
2,0.7,6,2,2,1, 2}",450,450,0
3,0.7,6,4,5,0, 2.6}",20,20,0
4,0.7,6,0,0,0.2, 3.6}",90,90,0
3,0.7,6,0,4,0.2, 2.6}",2840,146,2694
5,0.7,6,3,3,0, 3.6}",7,7,0
3,0.7,6,4,4,0.2, 3.1}",240,240,0
5,0.7,6,0,2,0.5, 3.6}",1142,59,1083
2,0.7,6,3,5,0, 3.1}",80,80,0
4,0.7,6,0,1,0, 3.6}",65,65,0
5,0.7,6,3,3,0.2, 3.6}",38,38,0
1,0.7,6,2,2,0, 2.6}",250,250,0
0,0.4,5,2,3,0, 2}",14,14,0
2,0.7,4,0,1,0, 2}",42,42,0
2,0.7,6,3,3,0, 2.6}",420,419,1
3,0.7,6,0,0,0.5, 2.6}",990,48,942
1,0.7,6,4,4,0.2, 1.5}",176,176,0
4,0.7,6,0,3,0, 3.6}",555,35,520
2,0.7,6,0,2,0.2, 2}",5080,262,4818
3,0.7,6,0,0,0.2, 3.1}",540,36,504
0,0.4,5,0,2,0.25, 1.5}",1520,1520,0
3,0.7,6,0,0,0.5, 3.1}",2970,139,2831
4,0.7,6,0,3,0.5, 3.1}",3200,163,3037
0,0.4,6,0,3,0.5, 1.5}",12160,1173,10987
1,0.7,6,0,0,1, 1.5}",3718,193,3525
2,0.7,5,2,3,0.25, 2.6}",168,144,24
5,0.7,6,4,4,0.2, 3.6}",8,8,0
2,0.7,6,0,3,0, 2.6}",6660,329,6331
2,0.7,6,0,2,0.5, 2}",11420,546,10874
0,0.4,6,0,2,0.5, 2.6}",1142,172,970
1,0.7,6,0,3,0.5, 2}",21120,1022,20098
2,0.7,6,0,2,0, 3.1}",560,31,529
0,0.4,6,0,2,0, 2.6}",56,56,0
2,0.7,5,2,3,0, 2.6}",84,84,0
4,0.7,6,0,3,0, 3.1}",555,33,522
4,0.7,5,3,3,0.25, 3.1}",9,7,2
4,0.7,6,3,3,0, 3.6}",35,35,0
1,0.7,5,0,2,0.67, 2}",2208,2208,0
5,0.7,6,0,1,0.5, 3.6}",637,39,598
0,0.4,6,2,5,0, 2}",156,156,0
0,0.4,5,0,1,0.67, 1.5}",1920,1920,0
3,0.7,5,4,4,0, 2.6}",8,8,0
2,0.7,6,2,3,0.2, 3.1}",1940,113,1827
1,0.7,4,0,0,0.33, 2}",30,30,0
0,0.4,6,0,3,0.2, 2.6}",632,80,552
2,0.7,6,4,4,0, 2.6}",240,240,0
1,0.7,5,0,1,0, 1.5}",160,160,0
2,0.7,6,2,2,0.5, 2}",1540,76,1464
0,0.4,6,3,3,0, 2}",42,42,0
5,0.7,6,2,4,0.2, 3.6}",114,114,0
5,0.7,6,0,2,0.2, 3.6}",508,35,473
2,0.7,6,2,3,0, 2}",440,440,0
0,0.4,5,0,1,1.5, 2}",66,66,0
1,0.7,6,3,3,0, 2}",231,231,0
4,0.7,6,0,0,0, 3.1}",5,5,0
