#long_link,long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,total,simulated,left,1702863,126348,1576515
1,0.7,6,2,5,0,1.5}",572,34,538,,,
1,0.7,4,0,3,0,2}",18,18,0,,,
1,0.7,6,4,4,0,2}",132,25,107,,,
2,0.7,6,0,2,0,2}",560,30,530,,,
0,0.4,6,2,2,0,2.6}",10,10,0,,,
3,0.7,5,0,0,1.5,2.6}",304,58,246,,,
4,0.7,5,0,1,0.25,3.1}",93,37,56,,,
2,0.7,5,3,3,0.25,2.6}",54,25,29,,,
0,0.4,6,3,3,0,2.6}",7,7,0,,,
1,0.7,4,2,2,0.33,1.5}",36,36,0,,,
1,0.7,4,0,2,0.33,1.5}",144,144,0,,,
4,0.7,6,0,2,0,3.1}",280,31,249,,,
2,0.7,5,2,2,0,2.6}",42,27,15,,,
0,0.4,6,2,3,0,2}",264,52,212,,,
0,0.4,6,2,4,0.2,1.5}",2166,157,2009,,,
3,0.7,4,0,2,0.33,2.6}",24,24,0,,,
2,0.7,4,0,0,1,2}",114,114,0,,,
1,0.7,6,2,3,0.5,2}",4752,237,4515,,,
2,0.7,6,0,0,0.2,2.6}",1080,52,1028,,,
1,0.7,4,2,3,0,2}",6,6,0,,,
4,0.7,6,4,4,0.2,3.1}",40,25,15,,,
2,0.7,5,3,3,0,2.6}",24,24,0,,,
2,0.7,6,0,1,0.5,2.6}",38220,1857,36363,,,
0,0.4,6,3,3,0.5,2}",156,43,113,,,
0,0.4,6,0,1,0.5,1.5}",12103,2402,9701,,,
0,0.4,4,0,1,0.33,1.5}",38,38,0,,,
3,0.7,4,0,1,1,2.6}",27,27,0,,,
1,0.7,6,0,2,0.5,2}",37686,1815,35871,,,
3,0.7,4,0,0,0,2.6}",1,1,0,,,
0,0.4,6,3,4,0.2,2.6}",26,25,1,,,
2,0.7,5,4,4,0,2}",18,18,0,,,
1,0.7,6,0,2,0,2}",1848,88,1760,,,
0,0.4,6,2,2,1,1.5}",855,146,709,,,
1,0.7,5,0,3,0.25,2}",1280,178,1102,,,
1,0.7,6,2,4,0.2,2}",3762,185,3577,,,
3,0.7,5,0,4,0,2.6}",128,40,88,,,
1,0.7,5,0,1,1.5,1.5}",1056,144,912,,,
0,0.4,6,0,4,0.2,2}",1704,113,1591,,,
3,0.7,5,0,2,0.25,2.6}",1216,184,1032,,,
0,0.4,5,3,4,0,2}",2,2,0,,,
4,0.7,6,0,4,0.2,3.1}",1420,68,1352,,,
4,0.7,6,5,5,0,3.1}",5,5,0,,,
2,0.7,5,0,1,0.25,2.6}",558,105,453,,,
2,0.7,6,0,1,0,2.6}",780,36,744,,,
0,0.4,4,0,1,0,1.5}",7,7,0,,,
0,0.4,5,0,4,0,1.5}",160,160,0,,,
2,0.7,5,0,1,0.67,2.6}",1152,173,979,,,
4,0.7,6,4,5,0,3.6}",10,10,0,,,
3,0.7,6,2,5,0,3.1}",780,36,744,,,
2,0.7,6,2,2,0.2,2.6}",5160,259,4901,,,
0,0.4,6,2,5,0,2.6}",26,25,1,,,
0,0.4,5,2,4,0,2}",8,8,0,,,
4,0.7,6,0,4,0,3.6}",560,40,520,,,
4,0.7,6,0,4,0.2,3.6}",1420,75,1345,,,
0,0.4,6,0,1,0.2,1.5}",3268,749,2519,,,
1,0.7,6,2,4,0,2.6}",1475,79,1396,,,
0,0.4,6,2,3,0.2,2.6}",194,37,157,,,
1,0.7,6,3,5,0,1.5}",176,25,151,,,
0,0.4,6,4,5,0,2}",12,12,0,,,
2,0.7,6,3,4,0.2,2.6}",1560,68,1492,,,
0,0.4,6,0,0,0,1.5}",19,19,0,,,
2,0.7,6,0,2,1,2.6}",32400,1589,30811,,,
2,0.7,4,0,1,0.33,2}",228,228,0,,,
2,0.7,5,2,2,0.67,2.6}",144,33,111,,,
3,0.7,6,2,2,1,2.6}",450,35,415,,,
3,0.7,6,3,3,0,3.1}",210,27,183,,,
4,0.7,6,0,3,0.5,3.6}",3200,149,3051,,,
