,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,,,,joint ,axe,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,,,,roll,z,,,,,,,,,,,,,,,,,,
pris,z,,pris,z,,,,,pris,z,,,,,,,,,,,,,,,,,,
roll,y,,roll,y,,,,,roll,y,,,,,,,,,,,,,,,,,,
pris,y,,pris,y,,,,,pris,y,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,,,,roll,z,,,,,,,,,,,,,,,,,,
roll,y,,pitch,y,,,,,pris,y,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,,,,,,,,,,,,,,,,,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,,,,,,,,,,,,,,,,,
pitch,x,,pitch,x,,pitch,x,,pitch,x,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,,
roll,y,,pitch,y,,pris,z,,pris,y,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,,,,,,,,,,,,,,,,,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,,,,,,,,,,,,,,,,,
pitch,z,,pitch,z,,pitch,z,,pitch,z,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,,
roll,y,,pitch,y,,pris,z,,pris,y,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,,,,,,,,,,,,,,,,,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,,,,,,,,,,,,,,,,,
pris,y,,pris,y,,pris,y,,pris,y,,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,,
roll,y,,pitch,y,,pris,z,,pris,y,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
