"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.5, 'acc_length': 2}",12150
"{'#long_link': 5, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.0, 'acc_length': 3.6}",1
"{'#long_link': 5, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.0, 'acc_length': 3.6}",162
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.25, 'acc_length': 2.6}",1344
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.0, 'acc_length': 1.5}",5
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.0, 'acc_length': 3.1}",30
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.67, 'acc_length': 2}",2304
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.5, 'acc_length': 3.6}",3185
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.25, 'acc_length': 2.6}",1755
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.25, 'acc_length': 2.6}",819
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 4, 'p/r_ratio': 0.0, 'acc_length': 2}",1890
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.5, 'acc_length': 3.1}",19110
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.5, 'acc_length': 1.5}",6370
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.5, 'acc_length': 1.5}",8100
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.67, 'acc_length': 2}",459
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.0, 'acc_length': 2}",195
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.0, 'acc_length': 3.1}",5
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.0, 'acc_length': 3.1}",6480
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.5, 'acc_length': 2}",342
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.2, 'acc_length': 2.6}",1720
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.5, 'acc_length': 2.6}",637
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.2, 'acc_length': 2.6}",594
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.0, 'acc_length': 2.6}",9720
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.0, 'acc_length': 2}",990
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.0, 'acc_length': 3.1}",19440
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.25, 'acc_length': 2.6}",768
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 3.0, 'acc_length': 2.6}",3
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.2, 'acc_length': 2.6}",180
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 1.0, 'acc_length': 2.6}",585
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.0, 'acc_length': 2.6}",4225
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.0, 'acc_length': 2.6}",1
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.25, 'acc_length': 1.5}",3072
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.0, 'acc_length': 2}",660
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.0, 'acc_length': 2}",130
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.2, 'acc_length': 3.1}",25920
"{'#long_link': 5, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.5, 'acc_length': 3.6}",1296
