name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_1pris_x_0_1roll_x_0_7pris_z_0_7roll_y_0_7,roll_pitch__pris__roll__pris__roll_,0.1_0.1__0.1__0.7__0.7__0.7_,z_y__x__x__z__y_,6,0.162,2.44,0.483,0.08,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_z_0_1roll_x_0_1roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.1__0.1__0.4_,z_y__x__z__x__y_,6,0.154,2.29,0.116,0.081,1
roll_z_0_1pitch_y_0_7pitch_z_0_7roll_y_0_4pitch_y_0_1roll_x_0_1,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.7__0.4__0.1__0.1_,z_y__z__y__y__x_,6,0.158,2.25,0.116,0.081,1
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_y_0_1roll_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.1__0.7__0.4_,z_y__z__y__z__y_,6,0.16,2.45,0.117,0.081,1
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_z_0_4pitch_y_0_7roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.4__0.7__0.4_,z_y__x__z__y__z_,6,0.172,2.24,0.125,0.081,1
roll_z_0_1pitch_y_0_7roll_y_0_7pitch_y_0_1pitch_z_0_4pitch_z_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__y__y__z__z_,6,0.17,2.29,0.125,0.081,1
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_z_0_1pitch_y_0_7roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.1__0.7__0.4_,z_y__x__z__y__y_,6,0.158,2.45,0.117,0.082,1
roll_z_0_1pitch_y_0_1roll_x_0_4pitch_y_0_7pitch_z_0_4pitch_x_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.4__0.7__0.4__0.7_,z_y__x__y__z__x_,6,0.16,2.39,0.118,0.082,1
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_x_0_7pitch_y_0_7roll_x_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.7__0.1_,z_y__x__x__y__x_,6,0.172,2.25,0.124,0.082,1
roll_z_0_1roll_y_0_7roll_y_0_4pitch_y_0_1pitch_z_0_7pitch_z_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.7__0.4__0.1__0.7__0.1_,z_y__y__y__z__z_,6,0.175,2.34,0.125,0.083,1
roll_z_0_1pitch_y_0_7roll_y_0_7pitch_y_0_4pitch_z_0_1pitch_z_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.7__0.4__0.1__0.1_,z_y__y__y__z__z_,6,0.178,2.09,0.125,0.084,1
roll_z_0_1pitch_y_0_1pitch_z_0_1roll_y_0_7pitch_y_0_7roll_z_0_4,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.1__0.7__0.7__0.4_,z_y__z__y__y__z_,6,0.157,2.14,0.11,0.085,1
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_7pitch_x_0_1pitch_z_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.7__0.1__0.7_,z_y__z__y__x__z_,6,0.166,2.4,0.115,0.085,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_x_0_1pitch_z_0_1roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.1__0.4_,z_y__x__x__z__x_,6,0.17,2.25,0.118,0.085,1
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_7pitch_z_0_7pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.7__0.7__0.1_,z_y__y__y__z__y_,6,0.166,2.15,0.118,0.085,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_x_0_4pitch_z_0_7roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.4__0.7__0.4_,z_y__y__x__z__z_,6,0.164,2.29,0.124,0.085,1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_z_0_7pitch_x_0_1pitch_y_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.7__0.1__0.4_,z_y__y__z__x__y_,6,0.177,2.39,0.125,0.085,1
roll_z_0_1pitch_y_0_4pitch_z_0_7roll_z_0_7pitch_y_0_1roll_z_0_1,roll_pitch__pitch__roll__pitch__roll_,0.1_0.4__0.7__0.7__0.1__0.1_,z_y__z__z__y__z_,6,0.168,2.44,0.119,0.086,1
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_7roll_z_0_7pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.7__0.7__0.4_,z_y__y__x__z__y_,6,0.165,2.44,0.119,0.086,1
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_y_0_7pitch_z_0_7roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.7__0.1_,z_y__z__y__z__z_,6,0.163,2.45,0.121,0.086,1
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_z_0_1pitch_x_0_7roll_y_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.1__0.7__0.1_,z_y__y__z__x__y_,6,0.147,2.4,0.108,0.087,1
roll_z_0_1pitch_y_0_1roll_y_0_7pitch_y_0_7roll_x_0_1pitch_y_0_4,roll_pitch__roll__pitch__roll__pitch_,0.1_0.1__0.7__0.7__0.1__0.4_,z_y__y__y__x__y_,6,0.162,1.84,0.113,0.087,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_z_0_4pitch_y_0_4roll_z_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.4__0.4__0.7_,z_y__y__z__y__z_,6,0.163,2.29,0.113,0.087,1
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_y_0_4roll_y_0_1pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.7__0.4__0.1__0.7_,z_y__x__y__y__y_,6,0.163,2.45,0.119,0.087,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_x_0_4pitch_y_0_1roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.4__0.1__0.1_,z_y__x__x__y__z_,6,0.166,2.29,0.12,0.087,1
roll_z_0_1pitch_y_0_1pitch_z_0_7pitch_y_0_7roll_y_0_4roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.1__0.7__0.7__0.4__0.1_,z_y__z__y__y__y_,6,0.163,2.35,0.11,0.088,1
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_7pitch_z_0_1pitch_y_0_7,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.4__0.7__0.1__0.7_,z_y__y__y__z__y_,6,0.159,2.34,0.111,0.088,1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_z_0_4roll_z_0_4pitch_y_0_7,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.7__0.4__0.4__0.7_,z_y__y__z__z__y_,6,0.176,2.4,0.118,0.088,1
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_y_0_1roll_z_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.1__0.7__0.4_,z_y__x__y__z__y_,6,0.16,1.98,0.119,0.088,1
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_z_0_4roll_x_0_4roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__z__z__x__y_,6,0.189,2.0,0.125,0.088,1
roll_z_0_1pitch_y_0_7roll_z_0_7pitch_y_0_1roll_x_0_4pitch_y_0_1,roll_pitch__roll__pitch__roll__pitch_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__z__y__x__y_,6,0.16,2.09,0.109,0.089,1
roll_z_0_1pitch_y_0_1roll_z_0_4pitch_y_0_7pitch_z_0_1roll_y_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.1__0.7_,z_y__z__y__z__y_,6,0.155,1.99,0.111,0.089,1
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_y_0_4pitch_z_0_7roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.7__0.1_,z_y__z__y__z__z_,6,0.161,2.41,0.112,0.089,1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_x_0_4pitch_x_0_1roll_z_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.4__0.1__0.7_,z_y__y__x__x__z_,6,0.161,2.31,0.114,0.089,1
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_z_0_7pitch_z_0_7roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.7__0.4_,z_y__x__z__z__z_,6,0.168,2.45,0.117,0.089,1
