roll,z
pris,z
roll,y
,
,
roll,z
pris,z
pitch,y
,
,
roll,z
pris,z
pris,y
,
,
roll,z
roll,y
pitch ,y
,
,
roll,z
roll,y
pris,y
,
,
roll,z
roll,y
pris,z
,
,
roll,z
roll,y
roll,y
,
,
roll,z
pitch,y
roll,y
,
,
roll,z
pitch,y
roll,z
,
,
roll,z
pitch,y
pitch,z
,
,
roll,z
pitch,y
roll,x
,
,
roll,z
pitch,y
pitch,x
,
,
roll,z
pitch,y
pris,y
,
,
roll,z
pitch,y
pris,z
,
,
roll,z
pitch,y
pitch,y
,
,
roll,z
pitch,y
pris,x
,
,
roll,z
pris,y
pitch,z
,
,
roll,z
pris,y
roll,x
,
,
roll,z
pris,y
pitch,x
,
,
roll,z
pris,y
roll,z
,
,
roll,z
pris,y
pris,x
,
,
roll,z
pris,y
roll,y
,
,
roll,z
pris,y
pitch,y
,
,
roll,z
pris,y
pris,y
