name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.7__1.0_,z_y__z__y_,4,0.007,2.92,4.416,0.01,1
roll_z_0_1pitch_y_1_0pitch_z_0_7pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_1.0__0.7__1.0_,z_y__z__y_,4,0.009,3.19,4.545,0.01,1
roll_z_0_1pitch_y_1_0pitch_z_0_1roll_x_0_1,roll_pitch__pitch__roll_,0.1_1.0__0.1__0.1_,z_y__z__x_,4,0.007,3.47,4.547,0.01,1
roll_z_0_1pitch_y_1_0pitch_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__z__y_,4,0.009,3.96,4.818,0.01,1
roll_z_0_1pitch_y_0_7roll_y_1_0pitch_y_1_0,roll_pitch__roll__pitch_,0.1_0.7__1.0__1.0_,z_y__y__y_,4,0.009,3.2,2.505,0.011,1
roll_z_0_1pitch_y_0_1pitch_z_1_0roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.1__1.0__0.4_,z_y__z__x_,4,0.01,3.08,4.129,0.011,1
roll_z_0_1pris_z_0_7pitch_y_0_7pitch_x_0_7,roll_pris__pitch__pitch_,0.1_0.7__0.7__0.7_,z_z__y__x_,4,0.007,2.17,4.203,0.011,1
roll_z_0_1roll_y_1_0pitch_y_0_1pitch_y_1_0,roll_roll__pitch__pitch_,0.1_1.0__0.1__1.0_,z_y__y__y_,4,0.013,3.32,4.282,0.011,1
roll_z_0_1pitch_y_0_7pitch_x_1_0pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.7_,z_y__x__z_,4,0.012,4.46,4.306,0.011,1
roll_z_0_1roll_y_1_0pitch_y_0_1pitch_x_0_4,roll_roll__pitch__pitch_,0.1_1.0__0.1__0.4_,z_y__y__x_,4,0.011,2.15,4.354,0.011,1
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_y_1_0,roll_pitch__pitch__roll_,0.1_0.4__0.1__1.0_,z_y__y__y_,4,0.019,2.93,4.518,0.011,1
roll_z_0_1roll_y_1_0pitch_y_1_0pitch_y_0_1,roll_roll__pitch__pitch_,0.1_1.0__1.0__0.1_,z_y__y__y_,4,0.009,2.75,4.528,0.011,1
roll_z_0_1roll_y_0_7roll_y_0_7pris_y_1_0,roll_roll__roll__pris_,0.1_0.7__0.7__1.0_,z_y__y__y_,4,0.005,2.8,4.641,0.011,1
roll_z_0_1pitch_y_1_0pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__y__z_,4,0.017,3.1,2.833,0.012,1
roll_z_0_1pitch_y_0_7pris_z_1_0pitch_z_1_0,roll_pitch__pris__pitch_,0.1_0.7__1.0__1.0_,z_y__z__z_,4,0.017,2.68,2.996,0.012,1
roll_z_0_1roll_y_1_0roll_y_0_4pitch_y_0_4,roll_roll__roll__pitch_,0.1_1.0__0.4__0.4_,z_y__y__y_,4,0.024,2.16,3.702,0.012,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.4__0.1__0.7_,z_y__x__z_,4,0.014,2.84,3.772,0.012,1
