name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_7pitch_x_0_4roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.4__0.4_,z_y__x__y__x__y_,6,0.162,2.14,0.005,,1
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_x_0_4pitch_z_0_4roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.4__0.1_,z_y__z__x__z__y_,6,0.162,2.29,0.005,,1
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_4roll_y_0_7pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.4__0.4__0.7__0.1_,z_y__x__z__y__y_,6,0.19,2.45,0.005,,1
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_4roll_z_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.4__0.4__0.7__0.4_,z_y__z__x__z__y_,6,0.169,2.24,0.005,,1
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_y_0_4roll_y_0_4roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.4__0.1_,z_y__x__y__y__y_,6,0.163,2.14,0.005,,1
roll_z_0_1pitch_y_0_7pitch_y_0_4roll_y_0_7roll_y_0_1pitch_y_0_4,roll_pitch__pitch__roll__roll__pitch_,0.1_0.7__0.4__0.7__0.1__0.4_,z_y__y__y__y__y_,6,0.157,2.45,0.005,,1
roll_z_0_1pitch_y_0_1roll_x_0_4pitch_y_0_7pitch_y_0_1roll_y_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.1__0.7_,z_y__x__y__y__y_,6,0.189,2.35,0.005,,1
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_z_0_7pitch_x_0_4pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.7__0.4__0.4_,z_y__y__z__x__z_,6,0.171,2.29,0.005,,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_7pitch_y_0_7pitch_x_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.7__0.7__0.1_,z_y__x__z__y__x_,6,0.189,2.44,0.006,,1
roll_z_0_1pitch_y_0_7pitch_z_0_1pitch_z_0_4pitch_y_0_7pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.4__0.7__0.1_,z_y__z__z__y__z_,6,0.198,2.45,0.006,,1
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_y_0_1pitch_z_0_7pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.4__0.1__0.7__0.4_,z_y__z__y__z__z_,6,0.191,2.45,0.006,,1
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_x_0_4pitch_y_0_1roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.1__0.4_,z_y__z__x__y__y_,6,0.18,2.45,0.005,,1
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_z_0_4pitch_y_0_4roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.4__0.1_,z_y__z__z__y__y_,6,0.205,2.29,0.006,,1
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_x_0_1roll_z_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.4__0.1__0.4__0.7_,z_y__y__x__z__y_,6,0.183,2.35,0.005,,1
roll_z_0_1pitch_y_0_1roll_x_0_4pitch_y_0_7pitch_y_0_7roll_x_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.7__0.1_,z_y__x__y__y__x_,6,0.193,2.77,0.006,,1
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1pitch_z_0_7roll_z_0_4,roll_pitch__roll__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.7__0.4_,z_y__y__y__z__z_,6,0.189,2.5,0.006,,1
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_7pitch_y_0_4roll_y_0_4,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.7__0.4__0.4_,z_y__z__y__y__y_,6,0.185,2.5,0.01,,1
roll_z_0_1pitch_y_0_1roll_z_0_4pitch_y_0_4roll_x_0_4pitch_y_0_7,roll_pitch__roll__pitch__roll__pitch_,0.1_0.1__0.4__0.4__0.4__0.7_,z_y__z__y__x__y_,6,0.172,2.14,0.006,,1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_4roll_y_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.7__0.4__0.1_,z_y__y__y__z__y_,6,0.167,2.35,0.011,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_1roll_z_0_4pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.1__0.4__0.4_,z_y__y__x__z__y_,6,0.18,2.29,0.006,,1
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_0_7roll_x_0_1pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.7__0.1__0.4_,z_y__y__y__x__y_,6,0.175,2.14,0.006,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_1pitch_z_0_4pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.4__0.4_,z_y__y__x__z__z_,6,0.027,2.85,0.007,,1
roll_z_0_1pitch_y_0_7roll_x_0_4pitch_y_0_4pitch_z_0_4pitch_z_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.4__0.1_,z_y__x__y__z__z_,6,0.144,2.25,0.01,,1
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_4pitch_x_0_7pitch_y_0_4,roll_roll__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.7__0.4_,z_y__y__y__x__y_,6,0.17,2.0,0.01,,1
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_7pitch_y_0_1pitch_x_0_7,roll_roll__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.7__0.1__0.7_,z_y__y__y__y__x_,6,0.185,2.45,0.01,,1
roll_z_0_1roll_y_0_7roll_y_0_4pitch_y_0_4pitch_x_0_4pitch_x_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.4__0.1_,z_y__y__y__x__x_,6,0.192,1.84,0.01,,1
roll_z_0_1pitch_y_0_1pitch_z_0_7pitch_y_0_4pitch_x_0_7pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.4__0.7__0.4_,z_y__z__y__x__y_,6,0.169,2.45,0.011,,1
roll_z_0_1pitch_y_0_7pitch_z_0_1pitch_z_0_7pitch_z_0_4pitch_y_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.4__0.1_,z_y__z__z__z__y_,6,0.156,2.4,0.011,,1
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_4pitch_y_0_7roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.7__0.4_,z_y__x__x__y__z_,6,0.199,2.24,0.011,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_0_1roll_z_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.1__0.7__0.1__0.7__0.4_,z_y__y__z__z__y_,6,0.156,2.45,0.011,,1
