name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.7__0.7__1.0_,z_y__y__y_,4,0.106,4.75,0.276,0.049
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_0_7,roll_roll__pitch__pitch_,0.1_0.7__0.7__0.7_,z_y__y__y_,4,0.07,5.42,0.215,0.049
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.7__0.7__0.4_,z_y__y__y_,4,0.069,5.42,0.228,0.05
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_0_1,roll_roll__pitch__pitch_,0.1_0.7__0.7__0.1_,z_y__y__y_,4,0.067,4.57,0.213,0.047
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.7__0.4__1.0_,z_y__y__y_,4,0.097,4.77,0.291,0.046
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_0_7,roll_roll__pitch__pitch_,0.1_0.7__0.4__0.7_,z_y__y__y_,4,0.101,4.78,0.285,0.051
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.7__0.4__0.4_,z_y__y__y_,4,0.104,4.71,0.279,0.05
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_0_1,roll_roll__pitch__pitch_,0.1_0.7__0.4__0.1_,z_y__y__y_,4,0.105,4.76,0.269,0.048
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.7__0.1__1.0_,z_y__y__y_,4,0.068,5.72,0.238,0.05
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_7,roll_roll__pitch__pitch_,0.1_0.7__0.1__0.7_,z_y__y__y_,4,0.073,4.8,0.211,0.045
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.7__0.1__0.4_,z_y__y__y_,4,0.07,5.52,0.207,0.047
roll_z_0_1roll_y_0_4pitch_y_1_0pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.4__1.0__0.4_,z_y__y__y_,4,0.106,4.72,0.29,0.05
roll_z_0_1roll_y_0_4pitch_y_1_0pitch_y_0_1,roll_roll__pitch__pitch_,0.1_0.4__1.0__0.1_,z_y__y__y_,4,0.104,4.76,0.276,0.052
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.4__0.7__1.0_,z_y__y__y_,4,0.046,4.63,0.305,0.046
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_0_7,roll_roll__pitch__pitch_,0.1_0.4__0.7__0.7_,z_y__y__y_,4,0.102,4.72,0.276,0.048
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_0_1,roll_roll__pitch__pitch_,0.1_0.4__0.7__0.1_,z_y__y__y_,4,0.071,5.43,0.239,0.051
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_7,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.7_,z_y__y__y_,4,0.102,4.76,0.298,0.046
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.104,4.72,0.303,0.049
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.4__0.1__1.0_,z_y__y__y_,4,0.068,5.32,0.209,0.048
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_7,roll_roll__pitch__pitch_,0.1_0.4__0.1__0.7_,z_y__y__y_,4,0.096,4.87,0.281,0.048
roll_z_0_1roll_y_0_1pitch_y_1_0pitch_y_0_1,roll_roll__pitch__pitch_,0.1_0.1__1.0__0.1_,z_y__y__y_,4,0.105,4.93,0.281,0.047
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.1__0.7__1.0_,z_y__y__y_,4,0.111,5.1,0.274,0.051
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_1_0,roll_roll__pitch__pitch_,0.1_0.1__0.4__1.0_,z_y__y__y_,4,0.099,5.1,0.272,0.052
roll_z_0_1roll_y_1_0pitch_y_1_0roll_y_1_0,roll_roll__pitch__roll_,0.1_1.0__1.0__1.0_,z_y__y__y_,4,0.045,4.85,0.054,0.046
roll_z_0_1roll_y_1_0pitch_y_1_0roll_y_0_7,roll_roll__pitch__roll_,0.1_1.0__1.0__0.7_,z_y__y__y_,4,0.068,5.3,0.226,0.05
roll_z_0_1roll_y_1_0pitch_y_1_0roll_y_0_4,roll_roll__pitch__roll_,0.1_1.0__1.0__0.4_,z_y__y__y_,4,0.069,5.02,0.238,0.051
roll_z_0_1roll_y_1_0pitch_y_1_0roll_y_0_1,roll_roll__pitch__roll_,0.1_1.0__1.0__0.1_,z_y__y__y_,4,0.069,5.88,0.208,0.047
roll_z_0_1roll_y_1_0pitch_y_0_7roll_y_1_0,roll_roll__pitch__roll_,0.1_1.0__0.7__1.0_,z_y__y__y_,4,0.069,5.78,0.194,0.045
roll_z_0_1roll_y_1_0pitch_y_0_7roll_y_0_7,roll_roll__pitch__roll_,0.1_1.0__0.7__0.7_,z_y__y__y_,4,0.068,5.43,0.223,0.05
roll_z_0_1roll_y_1_0pitch_y_0_7roll_y_0_4,roll_roll__pitch__roll_,0.1_1.0__0.7__0.4_,z_y__y__y_,4,0.108,4.77,0.28,0.047
roll_z_0_1roll_y_1_0pitch_y_0_7roll_y_0_1,roll_roll__pitch__roll_,0.1_1.0__0.7__0.1_,z_y__y__y_,4,0.058,4.57,0.299,0.048
roll_z_0_1roll_y_1_0pitch_y_0_4roll_y_1_0,roll_roll__pitch__roll_,0.1_1.0__0.4__1.0_,z_y__y__y_,4,0.071,4.98,0.216,0.049
roll_z_0_1roll_y_1_0pitch_y_0_4roll_y_0_7,roll_roll__pitch__roll_,0.1_1.0__0.4__0.7_,z_y__y__y_,4,0.068,4.92,0.233,0.05
roll_z_0_1roll_y_1_0pitch_y_0_4roll_y_0_1,roll_roll__pitch__roll_,0.1_1.0__0.4__0.1_,z_y__y__y_,4,0.057,5.01,0.207,0.047
roll_z_0_1roll_y_0_7pitch_y_1_0roll_y_0_7,roll_roll__pitch__roll_,0.1_0.7__1.0__0.7_,z_y__y__y_,4,0.068,5.68,0.24,0.051
roll_z_0_1roll_y_0_7pitch_y_1_0roll_y_0_1,roll_roll__pitch__roll_,0.1_0.7__1.0__0.1_,z_y__y__y_,4,0.075,4.9,0.227,0.046
roll_z_0_1roll_y_0_7pitch_y_0_7roll_y_0_7,roll_roll__pitch__roll_,0.1_0.7__0.7__0.7_,z_y__y__y_,4,0.077,4.74,0.21,0.047
roll_z_0_1roll_y_0_4pitch_y_0_4pris_x_1_0,roll_roll__pitch__pris_,0.1_0.4__0.4__1.0_,z_y__y__x_,4,0.1,4.86,0.026,0.049
roll_z_0_1roll_y_1_0pitch_y_1_0roll_x_1_0,roll_roll__pitch__roll_,0.1_1.0__1.0__1.0_,z_y__y__x_,4,0.106,5.08,0.279,0.052
