name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_1pris_z_0_7,roll_pitch__pitch__pitch__pris_,0.1_0.1__0.1__0.1__0.7_,z_y__y__z__z_,5,0.004,2.49,3.104,0.009
roll_z_0_1pitch_y_0_1pitch_x_0_7roll_x_0_1pitch_y_0_1,roll_pitch__pitch__roll__pitch_,0.1_0.1__0.7__0.1__0.1_,z_y__x__x__y_,5,0.009,2.39,3.422,0.014
roll_z_0_1pitch_y_0_1roll_x_0_4pitch_y_0_4roll_z_0_4,roll_pitch__roll__pitch__roll_,0.1_0.1__0.4__0.4__0.4_,z_y__x__y__z_,5,0.002,2.64,3.89,0.001
roll_z_0_1pitch_y_0_1pitch_z_0_1pitch_y_0_7roll_x_0_7,roll_pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.7__0.7_,z_y__z__y__x_,5,0.009,2.62,4.104,0.009
roll_z_0_1pitch_y_0_4pitch_x_0_7roll_z_0_4pitch_y_0_7,roll_pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.4__0.7_,z_y__x__z__y_,5,0.001,3.12,4.914,0.001
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_z_0_4roll_z_0_4,roll_pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.4_,z_y__z__z__z_,5,0.002,2.78,4.935,0.001
roll_z_0_1pitch_y_0_1roll_y_0_7pitch_y_0_1roll_y_0_4,roll_pitch__roll__pitch__roll_,0.1_0.1__0.7__0.1__0.4_,z_y__y__y__y_,5,0.008,2.22,3.077,0.012
roll_z_0_1roll_y_0_7roll_y_0_7pitch_y_0_4pitch_y_0_7,roll_roll__roll__pitch__pitch_,0.1_0.7__0.7__0.4__0.7_,z_y__y__y__y_,5,0.002,4.15,4.935,0.014
roll_z_0_1roll_y_0_4pitch_y_0_1roll_x_0_4pitch_y_0_1,roll_roll__pitch__roll__pitch_,0.1_0.4__0.1__0.4__0.1_,z_y__y__x__y_,5,0.005,3.88,4.935,0.01
roll_z_0_1pitch_y_0_1pitch_z_0_1pitch_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.4__0.4_,z_y__z__y__y_,5,0.003,3.15,3.222,0.002
roll_z_0_1pitch_y_0_1pitch_z_0_7pitch_x_0_4pris_x_0_7,roll_pitch__pitch__pitch__pris_,0.1_0.1__0.7__0.4__0.7_,z_y__z__x__x_,5,0.004,2.51,3.368,0.002
roll_z_0_1pris_y_0_7pitch_z_0_1pris_z_0_7pitch_y_0_7,roll_pris__pitch__pris__pitch_,0.1_0.7__0.1__0.7__0.7_,z_y__z__z__y_,5,0.004,2.88,5.19,0.003
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_1roll_y_0_1,roll_roll__roll__roll__roll_,0.1_0.7__0.7__0.1__0.1_,z_y__y__y__y_,5,0.003,3.22,4.851,0.001
roll_z_0_1roll_y_0_4roll_y_0_1pitch_y_0_1roll_x_0_7,roll_roll__roll__pitch__roll_,0.1_0.4__0.1__0.1__0.7_,z_y__y__y__x_,5,0.005,3.52,3.234,0.004
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_1roll_y_0_4,roll_roll__roll__pitch__roll_,0.1_0.4__0.7__0.1__0.4_,z_y__y__y__y_,5,0.002,4.35,4.857,0.002
roll_z_0_1pitch_y_0_7pitch_x_0_7roll_y_0_4roll_y_0_7,roll_pitch__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.7_,z_y__x__y__y_,5,0.006,3.54,4.829,0.013
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_y_0_1roll_y_0_1,roll_roll__pitch__pitch__roll_,0.1_0.1__0.7__0.1__0.1_,z_y__y__y__y_,5,0.007,2.04,3.706,0.006
roll_z_0_1pitch_y_0_1pitch_z_0_7pitch_x_0_4pitch_y_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.4__0.7_,z_y__z__x__y_,5,0.0,4.58,4.821,0.004
roll_z_0_1pitch_y_0_7roll_y_0_4pitch_y_0_1pitch_y_0_1,roll_pitch__roll__pitch__pitch_,0.1_0.7__0.4__0.1__0.1_,z_y__y__y__y_,5,0.003,2.68,3.889,0.002
roll_z_0_1pitch_y_0_1pitch_y_0_4roll_y_0_1pris_z_0_7,roll_pitch__pitch__roll__pris_,0.1_0.1__0.4__0.1__0.7_,z_y__y__y__z_,5,0.002,2.59,4.6,0.004
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_z_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.7_,z_y__y__z__x_,5,0.006,3.65,3.865,0.011
roll_z_0_1pitch_y_0_1pris_x_0_7pitch_z_0_1roll_z_0_7,roll_pitch__pris__pitch__roll_,0.1_0.1__0.7__0.1__0.7_,z_y__x__z__z_,5,0.004,2.14,3.131,0.002
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_1pitch_x_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.7_,z_y__x__x__x_,5,0.002,2.83,3.801,0.001
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_z_0_1pitch_y_0_1,roll_roll__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.1_,z_y__y__z__y_,5,0.003,3.12,4.794,0.013
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_1pitch_y_0_4,roll_pitch__roll__pitch__pitch_,0.1_0.7__0.4__0.1__0.4_,z_y__z__y__y_,5,0.0,3.16,2.718,0.0
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_7roll_y_0_1,roll_pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.7__0.1_,z_y__z__z__y_,5,0.001,2.62,4.863,0.006
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_x_0_1roll_z_0_1,roll_pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.1__0.1_,z_y__y__x__z_,5,0.004,2.72,4.897,0.009
roll_z_0_1pitch_y_0_7pris_y_0_7roll_x_0_1pris_y_0_7,roll_pitch__pris__roll__pris_,0.1_0.7__0.7__0.1__0.7_,z_y__y__x__y_,5,0.009,3.22,3.676,0.016
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7_,z_y__y__y__y_,5,0.007,2.68,3.878,0.005
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_7pitch_y_0_7,roll_pitch__roll__pitch__pitch_,0.1_0.4__0.4__0.7__0.7_,z_y__x__y__y_,5,0.005,3.4,4.264,0.01
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_x_0_7roll_z_0_4,roll_pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.4_,z_y__y__x__z_,5,0.004,3.37,3.496,0.005
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_x_0_1pitch_x_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7_,z_y__x__x__x_,5,0.001,3.63,4.633,0.003
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_z_0_1pris_z_0_7,roll_roll__pitch__pitch__pris_,0.1_0.7__0.1__0.1__0.7_,z_y__y__z__z_,5,0.01,2.43,2.424,0.017
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_y_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.7_,z_y__z__y__y_,5,0.004,4.04,4.249,0.008
roll_z_0_1pitch_y_0_1roll_z_0_7pitch_y_0_4pitch_y_0_7,roll_pitch__roll__pitch__pitch_,0.1_0.1__0.7__0.4__0.7_,z_y__z__y__y_,5,0.0,2.85,3.057,0.001
roll_z_0_1pitch_y_0_1pris_x_0_4roll_z_0_4roll_y_0_7,roll_pitch__pris__roll__roll_,0.1_0.1__0.4__0.4__0.7_,z_y__x__z__y_,5,0.002,2.09,3.658,0.001
roll_z_0_1pitch_y_0_7pris_y_0_7pitch_y_0_4roll_x_0_4,roll_pitch__pris__pitch__roll_,0.1_0.7__0.7__0.4__0.4_,z_y__y__y__x_,5,0.006,2.67,3.687,0.003
roll_z_0_1pitch_y_0_7pitch_z_0_4roll_x_0_1pitch_y_0_1,roll_pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.1__0.1_,z_y__z__x__y_,5,0.001,2.77,4.935,0.012
roll_z_0_1roll_y_0_4pris_y_0_7pitch_y_0_4pitch_x_0_4,roll_roll__pris__pitch__pitch_,0.1_0.4__0.7__0.4__0.4_,z_y__y__y__x_,5,0.0,2.77,3.003,0.0
roll_z_0_1roll_y_0_1pitch_y_0_4roll_x_0_7pitch_y_0_1,roll_roll__pitch__roll__pitch_,0.1_0.1__0.4__0.7__0.1_,z_y__y__x__y_,5,0.009,2.87,3.933,0.011
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_y_0_1roll_z_0_4,roll_pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.4_,z_y__x__y__z_,5,0.001,3.3,4.899,0.003
roll_z_0_1roll_y_0_7pitch_y_0_4roll_z_0_4pitch_y_0_7,roll_roll__pitch__roll__pitch_,0.1_0.7__0.4__0.4__0.7_,z_y__y__z__y_,5,0.01,2.48,3.897,0.011
roll_z_0_1pitch_y_0_4pitch_x_0_1roll_z_0_1pris_z_0_7,roll_pitch__pitch__roll__pris_,0.1_0.4__0.1__0.1__0.7_,z_y__x__z__z_,5,0.006,2.98,2.797,0.005
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_x_0_4pitch_x_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.7_,z_y__z__x__x_,5,0.002,3.85,4.264,0.01
roll_z_0_1pitch_y_0_1roll_z_0_4pitch_y_0_7pitch_z_0_4,roll_pitch__roll__pitch__pitch_,0.1_0.1__0.4__0.7__0.4_,z_y__z__y__z_,5,0.005,2.62,2.835,0.003
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_y_0_1pitch_y_0_1,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.1_,z_y__x__y__y_,5,0.005,2.6,3.259,0.003
roll_z_0_1roll_y_0_7roll_y_0_4roll_y_0_7roll_y_0_4,roll_roll__roll__roll__roll_,0.1_0.7__0.4__0.7__0.4_,z_y__y__y__y_,5,0.001,4.7,4.935,0.001
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_x_0_4,roll_roll__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.4_,z_y__y__y__x_,5,0.002,2.64,4.935,0.005
roll_z_0_1pitch_y_0_7pris_z_0_4roll_y_0_4pitch_y_0_7,roll_pitch__pris__roll__pitch_,0.1_0.7__0.4__0.4__0.7_,z_y__z__y__y_,5,0.002,1.88,3.444,0.001
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_1pitch_y_0_4,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4_,z_y__y__z__y_,5,0.004,3.09,2.98,0.005
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.7_,z_y__y__y__y_,5,0.001,2.37,3.499,0.001
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_0_4pitch_x_0_7,roll_roll__pitch__pitch__pitch_,0.1_0.4__0.7__0.4__0.7_,z_y__y__y__x_,5,0.004,3.54,3.933,0.003
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_z_0_1roll_x_0_7,roll_roll__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7_,z_y__y__z__x_,5,0.005,2.98,3.156,0.004
roll_z_0_1pitch_y_0_7roll_z_0_7pitch_y_0_1roll_x_0_7,roll_pitch__roll__pitch__roll_,0.1_0.7__0.7__0.1__0.7_,z_y__z__y__x_,5,0.034,3.0,3.158,0.012
roll_z_0_1roll_y_0_7pitch_y_0_1roll_z_0_4pitch_y_0_1,roll_roll__pitch__roll__pitch_,0.1_0.7__0.1__0.4__0.1_,z_y__y__z__y_,5,0.004,2.26,3.97,0.01
roll_z_0_1pitch_y_0_1pitch_y_0_4roll_x_0_7pitch_y_0_4,roll_pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.7__0.4_,z_y__y__x__y_,5,0.001,2.69,4.111,0.001
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_1roll_y_0_7,roll_pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.7_,z_y__y__z__y_,5,0.001,2.53,3.949,0.0
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_1pris_y_0_7,roll_pitch__pitch__pitch__pris_,0.1_0.4__0.1__0.1__0.7_,z_y__x__z__y_,5,0.003,2.09,4.887,0.012
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_4roll_y_0_7,roll_pitch__roll__roll__roll_,0.1_0.1__0.4__0.4__0.7_,z_y__y__y__y_,5,0.009,2.3,4.28,0.008
