name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.1__0.7__1.0_,z_y__y__z_,4,0.075,3.83,4.267,0.062
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.1__0.7__0.7_,z_y__y__z_,4,0.043,3.4,4.788,0.051
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.1__0.7__0.4_,z_y__y__z_,4,0.053,3.24,2.787,0.05
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.1__0.4__1.0_,z_y__y__z_,4,0.008,2.98,3.963,0.009
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.1__0.4__0.7_,z_y__y__z_,4,0.037,2.85,4.455,0.034
roll_z_0_1pitch_y_0_1pitch_y_0_1pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.1__0.1__1.0_,z_y__y__z_,4,0.143,3.17,4.373,0.084
roll_z_0_1pitch_y_1_0pitch_y_0_1pris_y_1_0,roll_pitch__pitch__pris_,0.1_1.0__0.1__1.0_,z_y__y__y_,4,0.036,3.02,2.448,0.024
roll_z_0_1pitch_y_0_7pitch_y_0_7pris_y_0_7,roll_pitch__pitch__pris_,0.1_0.7__0.7__0.7_,z_y__y__y_,4,0.067,3.34,2.083,0.059
roll_z_0_1pitch_y_0_4pitch_y_0_7pris_y_1_0,roll_pitch__pitch__pris_,0.1_0.4__0.7__1.0_,z_y__y__y_,4,0.11,2.84,0.389,0.094
roll_z_0_1pitch_y_1_0pitch_y_0_4pris_z_1_0,roll_pitch__pitch__pris_,0.1_1.0__0.4__1.0_,z_y__y__z_,4,0.092,2.93,0.406,0.058
roll_z_0_1pitch_y_0_7pitch_y_0_4pris_z_0_7,roll_pitch__pitch__pris_,0.1_0.7__0.4__0.7_,z_y__y__z_,4,0.018,2.72,3.912,0.056
roll_z_0_1pitch_y_0_7pitch_y_0_1pris_z_1_0,roll_pitch__pitch__pris_,0.1_0.7__0.1__1.0_,z_y__y__z_,4,0.1,2.22,2.939,0.101
roll_z_0_1pitch_y_0_4pitch_y_1_0pris_z_1_0,roll_pitch__pitch__pris_,0.1_0.4__1.0__1.0_,z_y__y__z_,4,0.11,2.73,2.855,0.074
roll_z_0_1pitch_y_0_4pitch_y_0_4pris_z_0_7,roll_pitch__pitch__pris_,0.1_0.4__0.4__0.7_,z_y__y__z_,4,0.031,2.92,1.496,0.03
roll_z_0_1pitch_y_0_1pitch_y_0_7pris_z_0_7,roll_pitch__pitch__pris_,0.1_0.1__0.7__0.7_,z_y__y__z_,4,0.152,2.98,4.331,0.101
roll_z_0_1pitch_y_0_1pitch_y_0_4pris_z_1_0,roll_pitch__pitch__pris_,0.1_0.1__0.4__1.0_,z_y__y__z_,4,0.049,3.04,3.978,0.055
roll_z_0_1pitch_y_1_0pitch_y_1_0pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_1.0__1.0__0.4_,z_y__y__y_,4,0.027,2.97,4.269,0.034
roll_z_0_1pitch_y_1_0pitch_y_1_0pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_1.0__1.0__0.1_,z_y__y__y_,4,0.01,2.86,3.85,0.007
roll_z_0_1pitch_y_1_0pitch_y_0_7pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.7_,z_y__y__y_,4,0.046,3.02,4.277,0.039
roll_z_0_1pitch_y_1_0pitch_y_0_7pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__y__y_,4,0.038,3.07,3.555,0.026
roll_z_0_1pitch_y_1_0pitch_y_0_7pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.1_,z_y__y__y_,4,0.088,3.94,3.085,0.063
roll_z_0_1pitch_y_1_0pitch_y_0_4pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_1.0__0.4__1.0_,z_y__y__y_,4,0.065,3.28,2.519,0.075
roll_z_0_1pitch_y_1_0pitch_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_1.0__0.4__0.7_,z_y__y__y_,4,0.037,2.82,4.878,0.042
roll_z_0_1pitch_y_1_0pitch_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.4__0.4_,z_y__y__y_,4,0.066,3.17,1.279,0.038
roll_z_0_1pitch_y_1_0pitch_y_0_4pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_1.0__0.4__0.1_,z_y__y__y_,4,0.071,2.52,3.828,0.065
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_1.0__0.1__1.0_,z_y__y__y_,4,0.083,2.77,2.908,0.09
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.7_,z_y__y__y_,4,0.034,3.48,4.835,0.041
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.4_,z_y__y__y_,4,0.022,2.67,2.589,0.029
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.1_,z_y__y__y_,4,0.127,2.73,2.469,0.056
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_0.7__1.0__1.0_,z_y__y__y_,4,0.122,3.01,3.373,0.081
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.7_,z_y__y__y_,4,0.021,3.67,4.832,0.036
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.4_,z_y__y__y_,4,0.065,3.93,4.426,0.075
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.1_,z_y__y__y_,4,0.036,3.11,3.107,0.037
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.7__1.0_,z_y__y__y_,4,0.103,3.22,3.03,0.074
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.7_,z_y__y__y_,4,0.081,2.52,4.147,0.078
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.4_,z_y__y__y_,4,0.061,2.87,3.642,0.057
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.1_,z_y__y__y_,4,0.042,2.72,3.766,0.062
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.7_,z_y__y__y_,4,0.024,2.77,3.154,0.026
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.4_,z_y__y__y_,4,0.026,2.53,4.298,0.054
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.1_,z_y__y__y_,4,0.007,2.32,4.699,0.013
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.1__1.0_,z_y__y__y_,4,0.076,3.69,3.197,0.084
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.1__0.7_,z_y__y__y_,4,0.111,3.26,4.749,0.099
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.1__0.4_,z_y__y__y_,4,0.013,2.71,4.177,0.011
roll_z_0_1pitch_y_0_4pitch_y_1_0pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_0.4__1.0__1.0_,z_y__y__y_,4,0.019,2.73,4.398,0.027
roll_z_0_1pitch_y_0_4pitch_y_1_0pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_0.4__1.0__0.7_,z_y__y__y_,4,0.082,3.09,2.611,0.075
roll_z_0_1pitch_y_0_4pitch_y_1_0pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__1.0__0.4_,z_y__y__y_,4,0.039,2.62,3.451,0.062
