Date,Time ,Arm ,Results ,,,,
"13/06/19, 14:17",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_z_0_4pitch_y_0_4,"True,True,True,True,True"
"13/06/19, 14:17",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_1pitch_y_0_4,"True,True,True,True,True"
Date,Time ,Arm ,Results ,,,,
"13/06/19, 14:18",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4pitch_y_0_1,"True,True,True,True,True"
"13/06/19, 14:18",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4pitch_y_0_4,"True,True,True,True,True"
"13/06/19, 14:19",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1pitch_y_0_1,"True,True,True,True,True"
"13/06/19, 14:19",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1pitch_y_0_4,"True,True,True,True,True"
"13/06/19, 14:19",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4pitch_y_0_1,"True,True,True,True,True"
"13/06/19, 14:20",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4pitch_y_0_4,"True,True,True,True,True"
"13/06/19, 14:20",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:20",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:21",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:21",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:22",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:22",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:22",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:23",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_1roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:23",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:23",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:24",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:24",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:25",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:25",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_4roll_y_0_4,"True,True,True,True,True"
Date,Time ,Arm ,Results ,,,,
"13/06/19, 14:26",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_1roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:26",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:26",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:27",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:27",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:27",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:28",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:28",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:29",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:29",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:29",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4roll_y_0_1,"True,True,True,True,True"
"13/06/19, 14:30",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4roll_y_0_4,"True,True,True,True,True"
"13/06/19, 14:30",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:30",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:31",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:31",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:31",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:32",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:32",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:32",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_1pris_y_0_1,"True,True,True,True,True"
Date,Time ,Arm ,Results ,,,,
"13/06/19, 14:33",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:34",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:34",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:34",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:35",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:35",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:35",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_1pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:36",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:36",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:37",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:37",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:37",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:38",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:38",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:39",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:39",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:39",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4pris_y_0_1,"True,True,True,True,True"
"13/06/19, 14:40",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4pris_y_0_4,"True,True,True,True,True"
"13/06/19, 14:40",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_z_0_4pris_z_0_4,"True,True,True,True,True"
